,0,1,C,A,T,H,CA,C_map
2pd0D01,0.41046876,4.0119004,3,30,2310,50,3.30,Alpha Beta
3v0dA02,-2.8998718,4.4784136,2,60,40,1110,2.60,Mainly Beta
3h0nA00,5.735367,0.49216345,1,10,3300,10,1.10,Mainly Alpha
4lixA02,4.0466256,1.5163847,1,50,10,160,1.50,Mainly Alpha
2koeA00,5.369742,1.4959286,1,10,1220,70,1.10,Mainly Alpha
1iojA00,3.3086205,-0.30326986,4,10,260,30,4.10,Few Sec. Str.
3l0mA02,4.0488973,0.18313482,1,20,1280,280,1.20,Mainly Alpha
2x43S00,6.2914963,0.92484385,6,10,140,1430,6.10,Special
4g6uA01,3.8881843,1.4665072,6,10,140,1810,6.10,Special
3r72A00,5.1787114,1.1321507,1,10,238,20,1.10,Mainly Alpha
3frnA01,-4.6915917,5.9297066,3,10,129,70,3.10,Alpha Beta
3u64A00,6.5212517,-0.27975252,1,25,40,920,1.25,Mainly Alpha
3lmmA02,4.04291,2.9339123,6,10,10,130,6.10,Special
4mf5A02,5.4505863,-0.33764282,1,20,1050,10,1.20,Mainly Alpha
2p0wA01,0.100008294,3.3891609,3,90,360,10,3.90,Alpha Beta
2md0A00,3.0223703,3.0947535,1,10,10,1940,1.10,Mainly Alpha
3fedA03,6.377416,-1.3928704,1,20,930,40,1.20,Mainly Alpha
3tgnA03,2.1255827,-7.4382963,6,10,140,1680,6.10,Special
3r1xA02,1.9609016,2.5664256,3,30,420,310,3.30,Alpha Beta
3wajA04,-3.094398,4.718266,2,60,40,3390,2.60,Mainly Beta
4e6zA01,0.17830938,1.6806554,3,40,1350,100,3.40,Alpha Beta
1v8cA02,-0.69334716,4.4632387,3,30,1370,80,3.30,Alpha Beta
3sxmA00,5.6303167,0.27756944,1,20,120,530,1.20,Mainly Alpha
1vk1A02,-0.021837806,4.558821,3,30,1760,10,3.30,Alpha Beta
3vx8A02,-0.676924,3.7081568,3,40,140,70,3.40,Alpha Beta
1qv9A02,5.157714,-0.14628844,6,10,140,120,6.10,Special
3ermB00,4.5078216,0.028931739,1,10,10,710,1.10,Mainly Alpha
1t0fC00,3.5707564,3.2349598,6,10,20,30,6.10,Special
4fixA01,-0.37528187,4.398703,3,90,550,60,3.90,Alpha Beta
4czxB00,3.965695,-0.8935301,1,10,287,3700,1.10,Mainly Alpha
4kk7A01,-2.7406907,5.96196,3,30,2390,20,3.30,Alpha Beta
2v0pB00,5.885047,-1.512793,1,25,40,540,1.25,Mainly Alpha
1cq3A00,-3.867726,4.214396,2,60,240,10,2.60,Mainly Beta
3deeA02,-0.09576322,4.1418147,3,90,930,50,3.90,Alpha Beta
1bxoA02,-3.0308578,5.378573,2,40,70,10,2.40,Mainly Beta
3plnA02,1.5905703,-8.447195,1,20,5,100,1.20,Mainly Alpha
4k3lB02,-2.5008802,4.4816885,3,10,150,10,3.10,Alpha Beta
2jwkA00,-0.9226536,4.887893,3,30,420,270,3.30,Alpha Beta
3w7tA02,1.9331512,-5.104006,1,10,287,100,1.10,Mainly Alpha
2ccvA00,-5.376946,3.9859989,2,60,40,2080,2.60,Mainly Beta
4bgbB01,0.864476,4.7307377,3,30,420,430,3.30,Alpha Beta
4hi8B00,1.867839,5.2696257,2,10,110,10,2.10,Mainly Beta
4ak1A02,-4.1378913,4.067982,2,30,30,1270,2.30,Mainly Beta
6az1c00,-2.428624,5.586024,2,20,25,100,2.20,Mainly Beta
2vf1A02,-3.5949538,3.4290361,2,20,25,440,2.20,Mainly Beta
3n89A01,-0.74623966,2.911529,3,30,310,270,3.30,Alpha Beta
2z3xA00,3.5657876,-2.5898852,6,10,10,80,6.10,Special
3zheB02,5.820542,-0.3337681,1,20,190,60,1.20,Mainly Alpha
3n6rA03,-1.5037047,5.005544,3,30,700,30,3.30,Alpha Beta
3r15A00,1.7288425,1.2575159,6,10,250,2300,6.10,Special
4m0wA01,-1.1539626,4.8096714,3,10,20,540,3.10,Alpha Beta
2uz5A01,0.78964704,-4.301031,6,10,250,2970,6.10,Special
2e6fA02,-1.7683209,4.8341494,2,30,26,10,2.30,Mainly Beta
2hq4A00,0.9202349,4.0913353,3,40,1600,10,3.40,Alpha Beta
3kdeC01,0.3618693,5.03064,6,20,210,20,6.20,Special
4c9rD00,2.9524589,5.355668,2,10,220,10,2.10,Mainly Beta
3s8pB01,5.7584662,0.50128126,1,10,10,1700,1.10,Mainly Alpha
1rwhA03,-3.6978102,5.2977505,2,60,220,10,2.60,Mainly Beta
2qudA00,-5.0830584,1.7789882,3,30,380,10,3.30,Alpha Beta
1s2oA02,0.21600024,5.2079835,3,90,1070,10,3.90,Alpha Beta
2o0qA00,-0.8825367,4.5514083,3,20,170,20,3.20,Alpha Beta
2qr4A01,5.893462,-1.7626534,1,20,140,70,1.20,Mainly Alpha
2d74B01,2.1665282,2.9158328,3,30,70,3150,3.30,Alpha Beta
1dy5A00,-2.2928095,4.8343987,3,10,130,10,3.10,Alpha Beta
4bz4B00,-3.9221237,4.723926,2,60,120,1220,2.60,Mainly Beta
3hc7A02,3.8393433,2.842791,1,10,10,1120,1.10,Mainly Alpha
1s1dA00,-3.077244,4.910732,2,120,10,100,2.120,Mainly Beta
3k6oA02,-4.6130285,4.4762444,2,60,40,2370,2.60,Mainly Beta
1rcqA01,-3.82388,4.7743793,2,40,37,10,2.40,Mainly Beta
1uvjA02,4.7679443,0.87257135,1,10,490,60,1.10,Mainly Alpha
2qtsD01,4.7234774,-6.1265793,1,10,287,770,1.10,Mainly Alpha
4i4tE01,1.810892,-14.24232,6,10,280,30,6.10,Special
1d0qA00,2.56174,2.987089,3,90,580,10,3.90,Alpha Beta
3rbyA02,-3.9807992,4.5198617,2,40,128,310,2.40,Mainly Beta
3e1sA04,-3.481342,6.167709,2,30,30,940,2.30,Mainly Beta
3icxA02,4.015923,2.277183,1,10,150,460,1.10,Mainly Alpha
4s39A01,1.580303,4.2363887,3,20,20,20,3.20,Alpha Beta
3p1vA01,-3.9008114,4.472288,2,60,40,3250,2.60,Mainly Beta
1ymtA00,5.9024005,-0.63774896,1,10,565,10,1.10,Mainly Alpha
1l6pA00,-4.4792194,3.9532757,2,60,40,1250,2.60,Mainly Beta
4ds7E00,1.7183597,-10.497774,6,10,310,10,6.10,Special
3bwhA02,1.5089693,2.809228,4,10,470,10,4.10,Few Sec. Str.
2odxA00,-2.1808813,5.275526,2,60,260,40,2.60,Mainly Beta
4fbwA02,3.9452875,1.2928685,3,30,110,110,3.30,Alpha Beta
1np6A02,-5.7915196,0.6659289,2,20,25,120,2.20,Mainly Beta
2w02B02,-3.1404057,4.6973753,2,30,30,1240,2.30,Mainly Beta
4rh8C00,-2.3765397,2.187686,3,30,160,150,3.30,Alpha Beta
4iqjM02,1.0052373,2.8280787,1,10,40,100,1.10,Mainly Alpha
1yf2A02,3.4803092,-9.334632,1,10,287,1120,1.10,Mainly Alpha
4qozC00,3.5927708,-0.04806646,1,10,8,1120,1.10,Mainly Alpha
2imuA00,3.7912366,-0.7205294,6,10,250,1030,6.10,Special
2zktA02,1.2365388,4.5649543,3,30,70,2130,3.30,Alpha Beta
4iylA02,4.511668,-2.477151,6,10,250,3130,6.10,Special
1x3lA01,1.4727138,3.9098425,3,40,1480,10,3.40,Alpha Beta
4dncD00,-1.5088261,-1.3156507,6,10,250,3170,6.10,Special
4j8lA02,1.773415,3.3390627,3,90,1150,130,3.90,Alpha Beta
6fgdA04,-4.4154077,5.101359,2,40,340,10,2.40,Mainly Beta
1svfA00,1.9810914,-11.753818,1,20,5,300,1.20,Mainly Alpha
1kmoA01,2.7792778,4.949358,2,170,130,10,2.170,Mainly Beta
3mr0A02,1.4709725,-6.1229677,6,10,250,490,6.10,Special
5teqA01,0.3628628,4.3944926,3,30,470,110,3.30,Alpha Beta
3bb0A01,6.0710635,-1.3205659,1,20,144,10,1.20,Mainly Alpha
4hi8A00,4.5560923,2.9733374,1,25,40,20,1.25,Mainly Alpha
2j5iA02,5.143047,-0.9290435,6,10,250,2850,6.10,Special
3l32A00,2.5194395,-4.6015053,6,10,140,1560,6.10,Special
1f9vA00,1.1225805,3.0309842,3,40,850,10,3.40,Alpha Beta
2hd0A01,4.4289455,2.6651123,1,20,1280,150,1.20,Mainly Alpha
3rrrG02,1.2000799,-2.9365313,6,10,250,1160,6.10,Special
4wfoA01,-3.9231818,4.680497,2,60,60,20,2.60,Mainly Beta
1bvp103,4.10093,1.5446295,1,10,170,10,1.10,Mainly Alpha
2yf4F00,5.596525,-3.5996232,1,10,3420,10,1.10,Mainly Alpha
3u5ek00,-2.8771183,3.8603232,3,30,720,90,3.30,Alpha Beta
4fyyB02,-1.877896,5.5661545,2,30,30,20,2.30,Mainly Beta
4jqfA01,4.335246,0.572314,1,10,10,980,1.10,Mainly Alpha
2gg2A00,1.9632081,1.9699699,3,90,230,10,3.90,Alpha Beta
4da2A01,-3.619184,5.723207,2,40,50,580,2.40,Mainly Beta
3ct6A00,1.2487527,4.699665,3,40,50,510,3.40,Alpha Beta
4qp5A00,-3.079246,5.135073,2,70,70,10,2.70,Mainly Beta
3r4rA02,-4.193491,4.417524,2,60,40,2590,2.60,Mainly Beta
1rgxA01,0.55828744,-4.1638284,6,10,250,200,6.10,Special
2r9gA02,0.864841,-2.3332312,1,10,3710,10,1.10,Mainly Alpha
1x3aA00,4.2695255,0.99782914,1,10,3970,10,1.10,Mainly Alpha
3f3bA00,-4.191444,4.4607897,2,40,10,370,2.40,Mainly Beta
3g4nA02,3.5045729,3.4186742,3,30,412,10,3.30,Alpha Beta
1n0eA00,-1.7990177,5.2105536,3,40,1550,20,3.40,Alpha Beta
3vk6A02,-0.3897263,1.6299033,6,10,140,2210,6.10,Special
2de6A02,-3.1860275,5.9131246,2,20,25,680,2.20,Mainly Beta
3vkgA15,5.701215,-0.95058715,1,10,8,1220,1.10,Mainly Alpha
3mmhA00,1.9336565,2.8973093,3,30,450,40,3.30,Alpha Beta
1kmvA00,0.116325624,4.9424634,3,40,430,10,3.40,Alpha Beta
2z5bB02,0.24513112,1.6273019,6,10,250,2050,6.10,Special
4a9aC01,1.3054106,-5.079712,6,20,400,10,6.20,Special
5enqB05,1.4001188,2.7670476,3,30,70,1440,3.30,Alpha Beta
2ozbB01,4.556965,-4.075883,1,10,287,4070,1.10,Mainly Alpha
3er9B03,1.1628224,4.03318,3,30,460,60,3.30,Alpha Beta
1jmuB04,-3.8357677,4.4261303,2,60,120,420,2.60,Mainly Beta
4aklA02,5.077977,-0.05890398,1,20,58,1110,1.20,Mainly Alpha
3ieeA01,6.130175,-2.4107344,1,20,120,930,1.20,Mainly Alpha
1td6A01,6.7834725,-0.8024521,1,20,1480,10,1.20,Mainly Alpha
2j4mA02,-0.49424607,4.7513976,3,90,1220,10,3.90,Alpha Beta
3nisA01,-1.1904559,4.9643607,2,10,110,30,2.10,Mainly Beta
2v1nA01,5.412504,1.2790232,1,10,10,2030,1.10,Mainly Alpha
4f3fC00,1.7360718,3.2736247,1,20,970,40,1.20,Mainly Alpha
1qysA00,-2.395173,3.8152728,3,30,1710,10,3.30,Alpha Beta
2k87A00,-2.1768177,4.848356,3,40,50,11020,3.40,Alpha Beta
1ng6A01,5.929889,-2.297678,1,10,1510,10,1.10,Mainly Alpha
5figA00,8.126073,-3.0059958,1,20,1270,360,1.20,Mainly Alpha
2e31A01,4.726756,1.8469702,1,20,1280,50,1.20,Mainly Alpha
4nomA02,4.1059375,-0.08882105,1,10,132,130,1.10,Mainly Alpha
1zymA02,6.946607,-1.4854524,1,10,274,10,1.10,Mainly Alpha
1gkuB01,-0.32440135,4.973709,2,20,20,30,2.20,Mainly Beta
2auaA01,-4.1024337,5.526953,3,20,170,10,3.20,Alpha Beta
1h5wB03,-3.55198,2.0342228,3,30,1350,20,3.30,Alpha Beta
4gvbA00,1.4709604,3.508753,3,30,70,440,3.30,Alpha Beta
1l2pA00,1.843733,-13.348145,1,20,5,620,1.20,Mainly Alpha
5bs1A00,4.463092,-0.45823377,1,10,1200,210,1.10,Mainly Alpha
3upuA03,-4.1735325,4.484912,2,30,30,780,2.30,Mainly Beta
2orwB02,0.8165915,4.348011,3,30,60,20,3.30,Alpha Beta
3rqsB01,2.0637956,1.130503,6,10,250,1150,6.10,Special
2auaA02,4.395699,-0.43661046,1,10,3800,10,1.10,Mainly Alpha
3dplC02,-0.51721925,3.6611984,3,30,230,130,3.30,Alpha Beta
1ykhA00,2.2467022,-9.521493,6,10,140,200,6.10,Special
2gpiA00,-0.07474754,3.406113,3,30,160,140,3.30,Alpha Beta
4g78A00,5.3851156,-2.0519524,1,20,120,160,1.20,Mainly Alpha
1z3xA01,5.640216,1.2415527,1,25,40,620,1.25,Mainly Alpha
2x8kA03,-4.8778534,5.500584,2,60,120,860,2.60,Mainly Beta
1pn0A03,0.4060071,4.5862556,3,40,30,20,3.40,Alpha Beta
2ju0B00,1.0348942,1.7338289,6,10,140,1260,6.10,Special
2gsoA02,-0.32884124,4.4862313,3,30,1360,180,3.30,Alpha Beta
3neuA02,2.4350731,-7.519318,1,10,287,2110,1.10,Mainly Alpha
2x12A01,-3.4810338,4.6770644,2,60,40,2010,2.60,Mainly Beta
1vomA05,0.41365254,4.0928006,6,20,240,20,6.20,Special
3lxuX02,-2.9378886,4.129595,2,20,25,690,2.20,Mainly Beta
3jszA03,5.556696,1.8751949,1,20,120,990,1.20,Mainly Alpha
4bs9A04,0.65440094,2.676862,3,30,40,250,3.30,Alpha Beta
3zzsA00,-5.8216596,5.638601,2,60,40,50,2.60,Mainly Beta
4c2mS01,0.59567606,-0.9573798,6,10,250,3390,6.10,Special
2yevC00,3.725455,-6.7981405,6,10,280,110,6.10,Special
1ye9A02,-3.8914523,3.7243886,2,40,470,10,2.40,Mainly Beta
3akjA01,-0.7506939,3.6835048,3,30,200,120,3.30,Alpha Beta
3pvvA00,5.47797,1.337641,1,10,1750,10,1.10,Mainly Alpha
3u61A03,4.8511324,2.3724852,1,10,8,700,1.10,Mainly Alpha
1sigA00,6.1115475,-1.5971806,1,10,601,10,1.10,Mainly Alpha
2eqpA00,-0.17489919,4.698304,4,10,400,20,4.10,Few Sec. Str.
2rdcA00,5.3608947,-3.724875,1,10,287,800,1.10,Mainly Alpha
3zykB02,6.685105,-3.2333477,1,20,58,150,1.20,Mainly Alpha
2wp7A00,2.0902176,2.4483366,3,90,1720,30,3.90,Alpha Beta
6e5yA02,3.4243283,1.1038948,3,90,1260,10,3.90,Alpha Beta
2ga1A01,1.7126511,-0.5753201,1,20,5,800,1.20,Mainly Alpha
4reoA02,1.0396191,5.6512885,3,40,50,790,3.40,Alpha Beta
2qkdA02,2.3530152,2.7527752,2,60,120,1040,2.60,Mainly Beta
1f0xA01,0.4871669,4.914189,3,30,70,610,3.30,Alpha Beta
2hldQ02,1.2688773,2.2798052,6,10,140,880,6.10,Special
4le3C00,-3.1324756,4.93225,2,60,120,1160,2.60,Mainly Beta
3e38A02,-4.577606,4.8346267,2,60,40,3090,2.60,Mainly Beta
1jr8A00,4.72356,-2.4751205,1,20,120,310,1.20,Mainly Alpha
1irqA00,1.5960281,-0.5939271,1,10,1220,10,1.10,Mainly Alpha
1s5dA00,0.6770624,3.0090098,3,90,210,10,3.90,Alpha Beta
2wa0A01,4.1685014,-0.7521753,1,10,10,1200,1.10,Mainly Alpha
5khtA00,2.003149,-12.083526,1,20,5,1160,1.20,Mainly Alpha
6ngmB01,4.5180016,1.5289185,3,90,340,10,3.90,Alpha Beta
2kp6A00,4.911448,3.0138268,1,10,10,1130,1.10,Mainly Alpha
4n0rA03,-4.1217666,5.512773,2,60,40,3950,2.60,Mainly Beta
2jh1A01,2.8884106,2.1413918,3,90,640,70,3.90,Alpha Beta
1fi8D00,-5.0882916,-0.450562,4,10,1230,10,4.10,Few Sec. Str.
2v8iA02,0.5205892,4.5454526,2,30,30,880,2.30,Mainly Beta
4u9hS01,1.1302534,3.6674907,3,40,50,700,3.40,Alpha Beta
1j7xA01,3.674519,1.7965554,3,30,750,44,3.30,Alpha Beta
5kxhA01,1.1169282,3.7405167,3,40,50,11340,3.40,Alpha Beta
2g3vA00,4.173633,0.48535362,1,20,120,1140,1.20,Mainly Alpha
1rf8B01,1.4358591,2.0426865,1,20,970,30,1.20,Mainly Alpha
4u8uN01,1.4278967,-6.838916,6,10,250,1530,6.10,Special
5b1aJ00,1.8288242,-7.2586703,4,10,91,10,4.10,Few Sec. Str.
4zldA00,5.8988624,-0.41291893,1,20,120,1790,1.20,Mainly Alpha
4zzfA02,-3.2630756,5.2067266,2,60,40,4070,2.60,Mainly Beta
3rkoF01,5.2053046,-2.4225066,1,20,120,1200,1.20,Mainly Alpha
2kxyA01,-5.2084546,1.5979705,2,170,120,40,2.170,Mainly Beta
2idoB00,6.2028327,-0.7342492,1,20,58,250,1.20,Mainly Alpha
3q1cA01,-3.2423046,4.315082,3,10,450,460,3.10,Alpha Beta
3rfwA02,2.0782423,-7.0993605,6,10,140,970,6.10,Special
2zx2A02,-3.8830056,4.879544,2,60,120,740,2.60,Mainly Beta
6chxA00,-4.2764864,4.795639,3,90,209,20,3.90,Alpha Beta
1o0sA02,4.7875896,2.2611904,1,20,1370,30,1.20,Mainly Alpha
4j8sA00,5.278417,1.0000764,1,25,40,840,1.25,Mainly Alpha
1xqbA02,2.1610816,3.782389,3,30,2310,10,3.30,Alpha Beta
2y6xA00,5.8507056,-2.6145136,1,20,58,810,1.20,Mainly Alpha
4h63Q04,-0.004838296,0.37384027,3,90,1150,120,3.90,Alpha Beta
5ihwA01,-3.754612,4.6574306,2,60,40,1280,2.60,Mainly Beta
1ezwA00,1.3971868,4.139918,3,20,20,30,3.20,Alpha Beta
1uv7A00,0.7628508,4.2918925,3,30,1360,100,3.30,Alpha Beta
2i9fB00,0.2066289,3.5789425,6,10,140,90,6.10,Special
1u2mB00,2.2298434,-5.8956337,3,30,910,20,3.30,Alpha Beta
2wbmA02,3.4882555,1.8056657,1,10,10,900,1.10,Mainly Alpha
1n93X02,3.1768484,1.6098771,1,10,3050,10,1.10,Mainly Alpha
2obeA03,-0.18753581,4.198837,3,90,39,10,3.90,Alpha Beta
1r0dB00,7.9234796,-2.7784684,1,20,1410,10,1.20,Mainly Alpha
4hj1C03,-4.573979,5.0851173,2,60,40,3770,2.60,Mainly Beta
3pmiA02,4.598081,0.825266,6,10,300,20,6.10,Special
4h63F02,1.3053412,-6.016552,6,10,250,2600,6.10,Special
2zixB01,0.28288543,3.120527,3,40,1620,30,3.40,Alpha Beta
3wwlA00,-2.782564,5.804917,2,20,28,160,2.20,Mainly Beta
1z47A02,-2.307527,5.095857,2,40,50,300,2.40,Mainly Beta
3uafA00,-3.1226945,4.3499823,2,60,40,3330,2.60,Mainly Beta
4gipD03,-1.577994,4.87082,2,60,40,1690,2.60,Mainly Beta
3ei3A04,2.880762,0.9079388,1,10,150,910,1.10,Mainly Alpha
2yicA01,5.350243,1.4101535,1,10,287,1150,1.10,Mainly Alpha
2r41D00,-3.0086465,5.7697244,3,10,450,150,3.10,Alpha Beta
3a54A01,-2.7786236,5.6848273,2,40,50,340,2.40,Mainly Beta
3euaA03,1.0052636,4.9526105,3,40,50,12570,3.40,Alpha Beta
3bgyA00,-1.3496413,3.240266,3,20,100,10,3.20,Alpha Beta
2dyiA02,-2.451545,5.210258,2,30,30,240,2.30,Mainly Beta
3shgB00,3.1245432,-1.2978655,1,10,8,1050,1.10,Mainly Alpha
1iq8A02,0.8072451,4.57028,3,90,1020,10,3.90,Alpha Beta
4bbyA05,4.3044086,0.33734402,3,30,300,330,3.30,Alpha Beta
2m7aA00,2.9974117,1.3397996,1,10,10,1920,1.10,Mainly Alpha
1zw8A01,1.5837725,3.776505,6,10,140,370,6.10,Special
6hwrA01,-3.793111,4.5871506,2,60,40,380,2.60,Mainly Beta
5oy0600,3.5584748,0.6639367,1,10,8,110,1.10,Mainly Alpha
2ayaA00,3.6364377,1.4310884,3,30,300,150,3.30,Alpha Beta
1ewqB01,-0.33188227,4.83392,3,40,1170,10,3.40,Alpha Beta
4rt1A00,-4.3436084,5.222804,2,40,10,220,2.40,Mainly Beta
3kxyT00,-2.0129392,2.3695452,6,20,290,10,6.20,Special
2fh0A00,4.6989846,1.8821467,1,10,8,140,1.10,Mainly Alpha
2a26B01,3.4527826,-4.730813,4,10,860,10,4.10,Few Sec. Str.
1s7bA00,4.577543,-2.9134533,1,10,3730,20,1.10,Mainly Alpha
1qvrC04,3.096475,-4.8848715,6,10,140,130,6.10,Special
4hs2A00,5.4940367,1.4992666,1,25,40,420,1.25,Mainly Alpha
4akgA13,5.6531816,-1.328035,1,10,8,740,1.10,Mainly Alpha
1cipA02,4.162593,0.20983356,1,10,400,10,1.10,Mainly Alpha
2lrmA00,6.5810504,0.24586406,1,10,890,30,1.10,Mainly Alpha
2xu8A00,1.0349101,4.335454,3,90,70,190,3.90,Alpha Beta
2nnuA01,6.546782,-4.0735173,1,10,287,30,1.10,Mainly Alpha
5ihwA02,-4.4997716,4.047307,2,60,40,1290,2.60,Mainly Beta
5xvtA03,1.1787924,4.9549236,3,40,50,920,3.40,Alpha Beta
4v0sB00,1.2976598,4.967276,3,40,50,9100,3.40,Alpha Beta
2g1pA02,5.0513244,1.1841664,1,10,1020,10,1.10,Mainly Alpha
4jgiA01,6.7832117,-0.54767525,1,10,1240,10,1.10,Mainly Alpha
2hsnA01,-0.27625686,3.2796113,3,40,30,170,3.40,Alpha Beta
4g6tA00,0.9741921,2.7666035,3,30,1460,10,3.30,Alpha Beta
2ch0A01,3.556107,1.7230839,1,10,10,1180,1.10,Mainly Alpha
2h8eA00,-2.960468,5.044857,3,30,1330,70,3.30,Alpha Beta
3pmcA00,5.633928,-1.9674062,1,10,490,70,1.10,Mainly Alpha
2ja2A05,4.5683827,1.3897084,1,10,10,350,1.10,Mainly Alpha
3ksvA02,0.010243417,-4.173304,6,10,250,2230,6.10,Special
3wurA00,5.957556,-0.0040205596,1,20,1420,60,1.20,Mainly Alpha
4nzrM02,-4.1392407,6.232244,2,160,20,180,2.160,Mainly Beta
3h90A01,6.628532,-2.3363228,1,20,1510,10,1.20,Mainly Alpha
2nykA02,-4.7219563,5.153311,2,60,40,2530,2.60,Mainly Beta
2e52A02,1.7680941,-6.371961,6,10,250,1510,6.10,Special
1g3pA01,-3.5814126,6.2726145,2,30,27,10,2.30,Mainly Beta
2i7cA01,-3.1684673,5.5993204,2,30,140,10,2.30,Mainly Beta
2qvwA03,1.353358,-5.4678564,6,10,250,1440,6.10,Special
4l3uA00,5.9210224,-0.88897574,1,20,1480,40,1.20,Mainly Alpha
3ctwB00,6.453638,-3.7134278,1,10,8,930,1.10,Mainly Alpha
2ap3A00,7.150105,-4.553969,1,20,120,570,1.20,Mainly Alpha
3fndA02,2.0383487,4.7104373,3,40,5,30,3.40,Alpha Beta
3gu3A02,3.63722,0.87282413,1,10,150,350,1.10,Mainly Alpha
6mptA01,1.89618,3.5838487,3,30,420,590,3.30,Alpha Beta
2vngA00,-2.9824111,4.9605193,2,60,120,1060,2.60,Mainly Beta
1udxA03,1.1944113,2.5998826,3,30,300,350,3.30,Alpha Beta
2xlkB00,0.06395578,3.712115,3,30,70,2540,3.30,Alpha Beta
5o95D01,-4.2187886,5.9385777,2,40,240,20,2.40,Mainly Beta
1im3D00,-4.614622,4.6367974,2,60,40,1200,2.60,Mainly Beta
5jrjA02,5.1140904,2.4463353,3,30,250,10,3.30,Alpha Beta
3hl8A03,2.5624359,2.7765555,1,20,1280,70,1.20,Mainly Alpha
5q22A02,0.93652296,4.7541075,3,40,50,12650,3.40,Alpha Beta
2vzcB00,5.762389,-0.5138689,1,10,418,10,1.10,Mainly Alpha
4n8nC00,1.8273842,2.999152,3,30,70,3040,3.30,Alpha Beta
4uwhA02,5.439256,-4.4183273,3,30,1010,10,3.30,Alpha Beta
3e0jC01,0.17384142,4.0367384,3,60,21,50,3.60,Alpha Beta
4gehB00,3.2699018,-3.4750144,1,10,12,70,1.10,Mainly Alpha
2qsfA03,-0.8531912,4.558938,3,30,60,290,3.30,Alpha Beta
2oj5D00,-4.559845,4.17091,2,60,90,20,2.60,Mainly Beta
4bgcA00,4.8280463,2.7215495,3,30,710,10,3.30,Alpha Beta
4as2A02,4.789254,2.327658,1,20,1440,310,1.20,Mainly Alpha
2xxlA01,2.0390625,2.5753753,3,30,1640,30,3.30,Alpha Beta
3dddA02,0.56712717,5.3090153,3,40,630,90,3.40,Alpha Beta
4h4dA03,0.8689017,5.3507667,3,40,1010,20,3.40,Alpha Beta
3khiA01,2.5935361,1.7850024,1,10,472,150,1.10,Mainly Alpha
3irbA01,4.3617063,2.6927757,6,10,30,10,6.10,Special
6ch1A01,1.2369455,3.8733084,3,40,30,60,3.40,Alpha Beta
2nsaA00,5.632976,-0.99407864,1,10,3120,10,1.10,Mainly Alpha
5dmdA00,-2.5665438,5.374098,2,30,290,10,2.30,Mainly Beta
2yicA04,1.4711311,3.6650462,3,40,50,11610,3.40,Alpha Beta
2q14H02,4.10206,1.3461082,1,20,1250,30,1.20,Mainly Alpha
2absA01,1.9182464,3.3491693,3,40,1190,20,3.40,Alpha Beta
1iv8A03,4.157692,1.3649828,1,10,150,200,1.10,Mainly Alpha
3dktA01,0.33611122,1.6962259,3,30,2400,30,3.30,Alpha Beta
3hlzA02,4.3141437,0.57586926,1,20,120,1090,1.20,Mainly Alpha
1xdpA01,5.2955236,-4.6970716,1,20,58,310,1.20,Mainly Alpha
4bqnA02,3.8788457,1.4323857,1,10,10,2490,1.10,Mainly Alpha
