,0,1,C,A,T,H,CA,C_map
3r15A00,0.7020619,5.898785,6,10,250,2300,6.10,Special
4m0wA01,5.6074367,5.9134464,3,10,20,540,3.10,Alpha Beta
2uz5A01,1.3120452,5.288054,6,10,250,2970,6.10,Special
2e6fA02,6.2744646,5.9796515,2,30,26,10,2.30,Mainly Beta
2hq4A00,1.7179577,2.983269,3,40,1600,10,3.40,Alpha Beta
3kdeC01,5.4604983,5.96239,6,20,210,20,6.20,Special
4c9rD00,2.2860744,4.1746974,2,10,220,10,2.10,Mainly Beta
3s8pB01,-1.782999,4.785856,1,10,10,1700,1.10,Mainly Alpha
1rwhA03,7.1899166,2.7127697,2,60,220,10,2.60,Mainly Beta
2qudA00,4.7179084,3.035685,3,30,380,10,3.30,Alpha Beta
1s2oA02,3.9803088,4.97209,3,90,1070,10,3.90,Alpha Beta
2o0qA00,5.220387,5.0504937,3,20,170,20,3.20,Alpha Beta
2qr4A01,-5.646525,0.24689513,1,20,140,70,1.20,Mainly Alpha
2d74B01,2.646303,6.650862,3,30,70,3150,3.30,Alpha Beta
1dy5A00,4.599276,2.6102002,3,10,130,10,3.10,Alpha Beta
4bz4B00,5.3341794,-0.15889466,2,60,120,1220,2.60,Mainly Beta
3hc7A02,0.8759396,5.9788227,1,10,10,1120,1.10,Mainly Alpha
1s1dA00,4.0992723,-1.1644403,2,120,10,100,2.120,Mainly Beta
3k6oA02,6.7914658,1.1251353,2,60,40,2370,2.60,Mainly Beta
1rcqA01,5.6506624,1.3591222,2,40,37,10,2.40,Mainly Beta
1uvjA02,-1.9641342,2.8449981,1,10,490,60,1.10,Mainly Alpha
2qtsD01,-5.5260277,5.3172545,1,10,287,770,1.10,Mainly Alpha
4i4tE01,-10.512093,-8.163982,6,10,280,30,6.10,Special
1d0qA00,1.679731,5.137197,3,90,580,10,3.90,Alpha Beta
3rbyA02,6.934261,2.860425,2,40,128,310,2.40,Mainly Beta
3e1sA04,7.7581882,4.1141233,2,30,30,940,2.30,Mainly Beta
3icxA02,1.7149295,6.872407,1,10,150,460,1.10,Mainly Alpha
4s39A01,-2.232032,-2.2817814,3,20,20,20,3.20,Alpha Beta
3p1vA01,6.5840077,2.366783,2,60,40,3250,2.60,Mainly Beta
1ymtA00,-5.946529,-2.1635325,1,10,565,10,1.10,Mainly Alpha
1l6pA00,6.315872,1.1125779,2,60,40,1250,2.60,Mainly Beta
4ds7E00,-5.837302,3.8326416,6,10,310,10,6.10,Special
3bwhA02,3.2710469,6.366963,4,10,470,10,4.10,Few Sec. Str.
2odxA00,6.6140924,5.4746146,2,60,260,40,2.60,Mainly Beta
4fbwA02,-0.06345267,5.7940435,3,30,110,110,3.30,Alpha Beta
1np6A02,6.1446567,3.2911522,2,20,25,120,2.20,Mainly Beta
2w02B02,6.836247,4.7805686,2,30,30,1240,2.30,Mainly Beta
4rh8C00,4.201896,2.8783212,3,30,160,150,3.30,Alpha Beta
4iqjM02,4.047814,6.289975,1,10,40,100,1.10,Mainly Alpha
1yf2A02,-10.031606,0.17699361,1,10,287,1120,1.10,Mainly Alpha
4qozC00,0.41412324,5.854633,1,10,8,1120,1.10,Mainly Alpha
2imuA00,0.01820858,6.08771,6,10,250,1030,6.10,Special
2zktA02,4.875882,5.875922,3,30,70,2130,3.30,Alpha Beta
4iylA02,-0.6076493,7.2889347,6,10,250,3130,6.10,Special
1x3lA01,0.048687574,1.0946405,3,40,1480,10,3.40,Alpha Beta
4dncD00,3.4110312,3.2325776,6,10,250,3170,6.10,Special
4j8lA02,1.841509,3.9235618,3,90,1150,130,3.90,Alpha Beta
6fgdA04,7.5246134,2.6230886,2,40,340,10,2.40,Mainly Beta
1svfA00,-9.33789,0.45182693,1,20,5,300,1.20,Mainly Alpha
1kmoA01,2.2069225,3.984385,2,170,130,10,2.170,Mainly Beta
3mr0A02,-0.5249985,5.365751,6,10,250,490,6.10,Special
5teqA01,0.77102107,0.6774018,3,30,470,110,3.30,Alpha Beta
3bb0A01,-5.4789867,1.0148393,1,20,144,10,1.20,Mainly Alpha
4hi8A00,-1.6360241,2.5881422,1,25,40,20,1.25,Mainly Alpha
2j5iA02,0.16366705,7.332765,6,10,250,2850,6.10,Special
3l32A00,-1.7678959,5.601907,6,10,140,1560,6.10,Special
1f9vA00,-0.9833894,0.1298242,3,40,850,10,3.40,Alpha Beta
2hd0A01,0.7302005,6.883391,1,20,1280,150,1.20,Mainly Alpha
3rrrG02,1.2120953,5.584797,6,10,250,1160,6.10,Special
4wfoA01,6.299342,1.5168257,2,60,60,20,2.60,Mainly Beta
1bvp103,0.8691132,5.9976625,1,10,170,10,1.10,Mainly Alpha
2yf4F00,-5.780262,3.2111611,1,10,3420,10,1.10,Mainly Alpha
3u5ek00,6.16068,4.669313,3,30,720,90,3.30,Alpha Beta
4fyyB02,6.7313933,5.5683365,2,30,30,20,2.30,Mainly Beta
4jqfA01,-0.7127186,5.4244924,1,10,10,980,1.10,Mainly Alpha
2gg2A00,-1.713521,0.5629041,3,90,230,10,3.90,Alpha Beta
4da2A01,7.3308315,3.5466487,2,40,50,580,2.40,Mainly Beta
3ct6A00,1.5931035,2.0419133,3,40,50,510,3.40,Alpha Beta
4qp5A00,5.6792097,1.9859178,2,70,70,10,2.70,Mainly Beta
3r4rA02,6.405252,1.3354893,2,60,40,2590,2.60,Mainly Beta
1rgxA01,1.2067225,5.098636,6,10,250,200,6.10,Special
2r9gA02,0.6549315,5.7205606,1,10,3710,10,1.10,Mainly Alpha
1x3aA00,-0.76597,4.808593,1,10,3970,10,1.10,Mainly Alpha
3f3bA00,6.396401,1.8819616,2,40,10,370,2.40,Mainly Beta
3g4nA02,0.37965623,3.400835,3,30,412,10,3.30,Alpha Beta
1n0eA00,5.650665,3.7215912,3,40,1550,20,3.40,Alpha Beta
3vk6A02,5.4388843,5.942967,6,10,140,2210,6.10,Special
2de6A02,7.3589177,4.5165215,2,20,25,680,2.20,Mainly Beta
3vkgA15,-2.8724158,4.025286,1,10,8,1220,1.10,Mainly Alpha
3mmhA00,0.43039656,3.2114627,3,30,450,40,3.30,Alpha Beta
1kmvA00,2.53432,2.454066,3,40,430,10,3.40,Alpha Beta
2z5bB02,5.536926,6.167501,6,10,250,2050,6.10,Special
4a9aC01,-1.965345,4.539799,6,20,400,10,6.20,Special
5enqB05,1.7645899,4.373548,3,30,70,1440,3.30,Alpha Beta
2ozbB01,-6.1588764,2.6656678,1,10,287,4070,1.10,Mainly Alpha
3er9B03,2.5502279,4.5994043,3,30,460,60,3.30,Alpha Beta
1jmuB04,5.0785317,-0.14213072,2,60,120,420,2.60,Mainly Beta
4aklA02,-2.4108095,4.2038703,1,20,58,1110,1.20,Mainly Alpha
3ieeA01,-6.009838,0.5235866,1,20,120,930,1.20,Mainly Alpha
1td6A01,-3.4502578,4.5216775,1,20,1480,10,1.20,Mainly Alpha
2j4mA02,5.901436,5.944193,3,90,1220,10,3.90,Alpha Beta
3nisA01,5.6295433,6.027577,2,10,110,30,2.10,Mainly Beta
2v1nA01,-0.457743,6.7784576,1,10,10,2030,1.10,Mainly Alpha
4f3fC00,3.1283677,6.1437607,1,20,970,40,1.20,Mainly Alpha
1qysA00,5.4913087,4.989848,3,30,1710,10,3.30,Alpha Beta
2k87A00,5.2320676,3.5153005,3,40,50,11020,3.40,Alpha Beta
1ng6A01,-4.3994985,5.3955603,1,10,1510,10,1.10,Mainly Alpha
5figA00,-7.602416,0.4030123,1,20,1270,360,1.20,Mainly Alpha
2e31A01,0.8491295,6.8069696,1,20,1280,50,1.20,Mainly Alpha
4nomA02,-3.201729,3.0272439,1,10,132,130,1.10,Mainly Alpha
1zymA02,-5.5425606,2.6662416,1,10,274,10,1.10,Mainly Alpha
1gkuB01,5.4677777,6.0177803,2,20,20,30,2.20,Mainly Beta
2auaA01,6.9776692,1.8994684,3,20,170,10,3.20,Alpha Beta
1h5wB03,5.987466,4.240421,3,30,1350,20,3.30,Alpha Beta
4gvbA00,3.328946,6.241231,3,30,70,440,3.30,Alpha Beta
1l2pA00,-10.325692,-2.9956706,1,20,5,620,1.20,Mainly Alpha
5bs1A00,-2.1599271,3.8648338,1,10,1200,210,1.10,Mainly Alpha
3upuA03,6.0579486,1.2537441,2,30,30,780,2.30,Mainly Beta
2orwB02,5.1427565,6.594696,3,30,60,20,3.30,Alpha Beta
3rqsB01,3.794522,6.627586,6,10,250,1150,6.10,Special
2auaA02,-0.98537093,5.2191167,1,10,3800,10,1.10,Mainly Alpha
3dplC02,3.2438326,2.5350525,3,30,230,130,3.30,Alpha Beta
1ykhA00,-9.042216,-0.7109785,6,10,140,200,6.10,Special
2gpiA00,3.9549072,5.440224,3,30,160,140,3.30,Alpha Beta
4g78A00,-5.1858516,2.7402453,1,20,120,160,1.20,Mainly Alpha
1z3xA01,-3.9378724,0.61187255,1,25,40,620,1.25,Mainly Alpha
2x8kA03,7.2279563,1.285224,2,60,120,860,2.60,Mainly Beta
1pn0A03,0.76387554,1.0623533,3,40,30,20,3.40,Alpha Beta
2ju0B00,4.04139,6.475146,6,10,140,1260,6.10,Special
2gsoA02,4.3288274,5.26549,3,30,1360,180,3.30,Alpha Beta
3neuA02,-3.6872656,5.2329383,1,10,287,2110,1.10,Mainly Alpha
2x12A01,4.869478,-0.119749434,2,60,40,2010,2.60,Mainly Beta
1vomA05,5.075861,6.394837,6,20,240,20,6.20,Special
3lxuX02,6.8564954,4.8861485,2,20,25,690,2.20,Mainly Beta
3jszA03,-2.0895135,2.1507537,1,20,120,990,1.20,Mainly Alpha
4bs9A04,4.1768503,5.5695376,3,30,40,250,3.30,Alpha Beta
3zzsA00,7.8622274,1.7045697,2,60,40,50,2.60,Mainly Beta
4c2mS01,1.127566,5.1256194,6,10,250,3390,6.10,Special
2yevC00,-5.5236363,5.473724,6,10,280,110,6.10,Special
1ye9A02,6.2368445,2.2819839,2,40,470,10,2.40,Mainly Beta
3akjA01,5.1701984,5.8059225,3,30,200,120,3.30,Alpha Beta
3pvvA00,-1.9030817,5.1195016,1,10,1750,10,1.10,Mainly Alpha
3u61A03,0.5409908,7.040673,1,10,8,700,1.10,Mainly Alpha
1sigA00,-7.2127857,-4.242669,1,10,601,10,1.10,Mainly Alpha
2eqpA00,5.365458,6.221659,4,10,400,20,4.10,Few Sec. Str.
2rdcA00,-6.09269,2.7961438,1,10,287,800,1.10,Mainly Alpha
3zykB02,-6.6865797,2.3771198,1,20,58,150,1.20,Mainly Alpha
2wp7A00,0.29780555,3.6080785,3,90,1720,30,3.90,Alpha Beta
6e5yA02,-2.039081,1.5570097,3,90,1260,10,3.90,Alpha Beta
2ga1A01,2.5722141,6.117247,1,20,5,800,1.20,Mainly Alpha
4reoA02,3.202156,4.4640326,3,40,50,790,3.40,Alpha Beta
2qkdA02,1.8738652,5.0926614,2,60,120,1040,2.60,Mainly Beta
1f0xA01,3.6853821,5.3163095,3,30,70,610,3.30,Alpha Beta
2hldQ02,4.401255,6.685181,6,10,140,880,6.10,Special
4le3C00,4.1372848,-0.40396655,2,60,120,1160,2.60,Mainly Beta
3e38A02,7.3926554,3.183302,2,60,40,3090,2.60,Mainly Beta
1jr8A00,-3.3153684,4.6034136,1,20,120,310,1.20,Mainly Alpha
1irqA00,1.5214206,6.3709564,1,10,1220,10,1.10,Mainly Alpha
1s5dA00,-0.09469552,0.73147225,3,90,210,10,3.90,Alpha Beta
2wa0A01,-0.85013306,5.475775,1,10,10,1200,1.10,Mainly Alpha
5khtA00,-8.780721,1.656666,1,20,5,1160,1.20,Mainly Alpha
6ngmB01,-0.3109525,5.0885587,3,90,340,10,3.90,Alpha Beta
2kp6A00,0.47146204,6.781844,1,10,10,1130,1.10,Mainly Alpha
4n0rA03,6.9803505,1.8552823,2,60,40,3950,2.60,Mainly Beta
2jh1A01,1.725998,6.301127,3,90,640,70,3.90,Alpha Beta
1fi8D00,5.772992,2.7260702,4,10,1230,10,4.10,Few Sec. Str.
2v8iA02,5.1033754,6.499574,2,30,30,880,2.30,Mainly Beta
4u9hS01,0.5023606,1.4306763,3,40,50,700,3.40,Alpha Beta
1j7xA01,0.5209333,5.6559753,3,30,750,44,3.30,Alpha Beta
5kxhA01,1.5102621,2.8294706,3,40,50,11340,3.40,Alpha Beta
2g3vA00,-2.5718305,1.0084885,1,20,120,1140,1.20,Mainly Alpha
1rf8B01,2.975964,6.284696,1,20,970,30,1.20,Mainly Alpha
4u8uN01,-2.211372,4.606911,6,10,250,1530,6.10,Special
5b1aJ00,-3.8247185,4.5300465,4,10,91,10,4.10,Few Sec. Str.
4zldA00,-3.827989,3.0903664,1,20,120,1790,1.20,Mainly Alpha
4zzfA02,7.083334,3.852284,2,60,40,4070,2.60,Mainly Beta
3rkoF01,-5.5138535,2.2693033,1,20,120,1200,1.20,Mainly Alpha
2kxyA01,5.7826595,1.0615772,2,170,120,40,2.170,Mainly Beta
2idoB00,-2.1840482,5.247165,1,20,58,250,1.20,Mainly Alpha
3q1cA01,6.1287394,3.149733,3,10,450,460,3.10,Alpha Beta
3rfwA02,-5.7827206,3.460524,6,10,140,970,6.10,Special
2zx2A02,6.047669,3.2709274,2,60,120,740,2.60,Mainly Beta
6chxA00,5.5415497,-0.026023151,3,90,209,20,3.90,Alpha Beta
1o0sA02,-0.3805519,6.192118,1,20,1370,30,1.20,Mainly Alpha
4j8sA00,-3.9655252,-0.23529668,1,25,40,840,1.25,Mainly Alpha
1xqbA02,3.12068,7.2560573,3,30,2310,10,3.30,Alpha Beta
2y6xA00,-5.5660267,2.851155,1,20,58,810,1.20,Mainly Alpha
4h63Q04,2.8523402,5.062939,3,90,1150,120,3.90,Alpha Beta
5ihwA01,6.3726444,1.5350976,2,60,40,1280,2.60,Mainly Beta
1ezwA00,-2.3903859,-3.1013525,3,20,20,30,3.20,Alpha Beta
1uv7A00,4.410153,6.53885,3,30,1360,100,3.30,Alpha Beta
2i9fB00,5.242791,6.4077554,6,10,140,90,6.10,Special
1u2mB00,-5.143581,3.4541864,3,30,910,20,3.30,Alpha Beta
2wbmA02,0.9936284,6.1961184,1,10,10,900,1.10,Mainly Alpha
1n93X02,-0.20805289,5.0845222,1,10,3050,10,1.10,Mainly Alpha
2obeA03,4.274005,4.2784476,3,90,39,10,3.90,Alpha Beta
1r0dB00,-8.233649,-3.4206352,1,20,1410,10,1.20,Mainly Alpha
4hj1C03,6.924577,1.1120666,2,60,40,3770,2.60,Mainly Beta
3pmiA02,0.52113587,7.4087567,6,10,300,20,6.10,Special
4h63F02,-0.48497763,4.7478685,6,10,250,2600,6.10,Special
2zixB01,4.8606434,6.41783,3,40,1620,30,3.40,Alpha Beta
3wwlA00,7.015047,5.1656365,2,20,28,160,2.20,Mainly Beta
1z47A02,6.4718385,5.81619,2,40,50,300,2.40,Mainly Beta
3uafA00,6.27188,3.9389393,2,60,40,3330,2.60,Mainly Beta
4gipD03,6.3298383,5.895649,2,60,40,1690,2.60,Mainly Beta
3ei3A04,0.9845425,4.8400416,1,10,150,910,1.10,Mainly Alpha
2yicA01,1.2608174,7.602033,1,10,287,1150,1.10,Mainly Alpha
2r41D00,6.516189,4.1831374,3,10,450,150,3.10,Alpha Beta
3a54A01,7.0032663,4.04198,2,40,50,340,2.40,Mainly Beta
3euaA03,3.7918108,5.349401,3,40,50,12570,3.40,Alpha Beta
3bgyA00,2.0310144,0.444565,3,20,100,10,3.20,Alpha Beta
2dyiA02,6.5074844,4.5632195,2,30,30,240,2.30,Mainly Beta
3shgB00,-0.6709812,6.599059,1,10,8,1050,1.10,Mainly Alpha
1iq8A02,3.4377916,5.8169665,3,90,1020,10,3.90,Alpha Beta
4bbyA05,0.84584063,5.407982,3,30,300,330,3.30,Alpha Beta
2m7aA00,1.5242138,6.086659,1,10,10,1920,1.10,Mainly Alpha
1zw8A01,4.066158,6.9963098,6,10,140,370,6.10,Special
6hwrA01,6.9689903,2.814694,2,60,40,380,2.60,Mainly Beta
5oy0600,-1.5857905,3.1365168,1,10,8,110,1.10,Mainly Alpha
2ayaA00,-0.06934887,5.350211,3,30,300,150,3.30,Alpha Beta
1ewqB01,3.885697,4.5478587,3,40,1170,10,3.40,Alpha Beta
4rt1A00,6.9947567,1.6723894,2,40,10,220,2.40,Mainly Beta
3kxyT00,4.358932,5.9094706,6,20,290,10,6.20,Special
2fh0A00,0.28139186,6.5827956,1,10,8,140,1.10,Mainly Alpha
2a26B01,-1.9008032,6.391073,4,10,860,10,4.10,Few Sec. Str.
1s7bA00,-3.7686958,3.6964204,1,10,3730,20,1.10,Mainly Alpha
1qvrC04,-5.1971354,2.3106143,6,10,140,130,6.10,Special
4hs2A00,-0.90143025,6.2634687,1,25,40,420,1.25,Mainly Alpha
4akgA13,-2.1319635,5.885973,1,10,8,740,1.10,Mainly Alpha
1cipA02,-1.9920404,2.9067974,1,10,400,10,1.10,Mainly Alpha
2lrmA00,-1.9117852,6.2215586,1,10,890,30,1.10,Mainly Alpha
2xu8A00,4.2988234,6.0590134,3,90,70,190,3.90,Alpha Beta
2nnuA01,-5.9501123,4.142271,1,10,287,30,1.10,Mainly Alpha
5ihwA02,6.1728334,0.90042406,2,60,40,1290,2.60,Mainly Beta
5xvtA03,2.0755296,3.0298147,3,40,50,920,3.40,Alpha Beta
4v0sB00,1.2947618,2.0522895,3,40,50,9100,3.40,Alpha Beta
2g1pA02,-0.59301144,6.181519,1,10,1020,10,1.10,Mainly Alpha
4jgiA01,-3.1756225,5.056022,1,10,1240,10,1.10,Mainly Alpha
2hsnA01,4.807767,5.8758435,3,40,30,170,3.40,Alpha Beta
4g6tA00,2.1302462,5.0976677,3,30,1460,10,3.30,Alpha Beta
2ch0A01,0.7881685,4.7243633,1,10,10,1180,1.10,Mainly Alpha
2h8eA00,6.1351643,3.740884,3,30,1330,70,3.30,Alpha Beta
3pmcA00,-5.174386,1.6584321,1,10,490,70,1.10,Mainly Alpha
2ja2A05,-0.9656779,5.123848,1,10,10,350,1.10,Mainly Alpha
3ksvA02,2.0880628,4.8644977,6,10,250,2230,6.10,Special
3wurA00,-5.146604,0.10366578,1,20,1420,60,1.20,Mainly Alpha
4nzrM02,6.856881,-0.39725533,2,160,20,180,2.160,Mainly Beta
3h90A01,-7.214896,-1.7707101,1,20,1510,10,1.20,Mainly Alpha
2nykA02,7.4188013,1.8281071,2,60,40,2530,2.60,Mainly Beta
2e52A02,-4.904988,2.825101,6,10,250,1510,6.10,Special
1g3pA01,7.9441304,3.6985984,2,30,27,10,2.30,Mainly Beta
2i7cA01,7.3189573,4.90315,2,30,140,10,2.30,Mainly Beta
2qvwA03,-0.26659164,5.0802183,6,10,250,1440,6.10,Special
4l3uA00,-4.3214283,1.9706812,1,20,1480,40,1.20,Mainly Alpha
3ctwB00,-6.5258017,3.1964786,1,10,8,930,1.10,Mainly Alpha
2ap3A00,-8.971096,-2.599115,1,20,120,570,1.20,Mainly Alpha
3fndA02,4.4082117,6.7602115,3,40,5,30,3.40,Alpha Beta
3gu3A02,-0.11924063,4.0112257,1,10,150,350,1.10,Mainly Alpha
6mptA01,2.8916445,5.1778426,3,30,420,590,3.30,Alpha Beta
2vngA00,4.8921494,0.31867522,2,60,120,1060,2.60,Mainly Beta
1udxA03,4.025584,6.039638,3,30,300,350,3.30,Alpha Beta
2xlkB00,2.519612,2.7013974,3,30,70,2540,3.30,Alpha Beta
5o95D01,7.783952,3.3036664,2,40,240,20,2.40,Mainly Beta
1im3D00,7.128836,1.6784241,2,60,40,1200,2.60,Mainly Beta
5jrjA02,0.8501828,7.502896,3,30,250,10,3.30,Alpha Beta
3hl8A03,2.6651914,6.6694565,1,20,1280,70,1.20,Mainly Alpha
5q22A02,2.3441439,3.542337,3,40,50,12650,3.40,Alpha Beta
2vzcB00,-3.859442,3.2709303,1,10,418,10,1.10,Mainly Alpha
4n8nC00,1.6550807,5.4321637,3,30,70,3040,3.30,Alpha Beta
4uwhA02,-4.2749066,5.4786925,3,30,1010,10,3.30,Alpha Beta
3e0jC01,0.49214187,0.38335913,3,60,21,50,3.60,Alpha Beta
4gehB00,-1.3037096,6.1322165,1,10,12,70,1.10,Mainly Alpha
2qsfA03,5.7367077,6.1873627,3,30,60,290,3.30,Alpha Beta
2oj5D00,5.243234,-0.83169156,2,60,90,20,2.60,Mainly Beta
4bgcA00,0.7711441,6.706812,3,30,710,10,3.30,Alpha Beta
4as2A02,-0.050795283,6.4714127,1,20,1440,310,1.20,Mainly Alpha
2xxlA01,2.9384909,6.9367857,3,30,1640,30,3.30,Alpha Beta
3dddA02,2.8413043,2.6262527,3,40,630,90,3.40,Alpha Beta
4h4dA03,2.2406168,2.8183615,3,40,1010,20,3.40,Alpha Beta
3khiA01,1.540038,4.555896,1,10,472,150,1.10,Mainly Alpha
3irbA01,2.4979382,7.549044,6,10,30,10,6.10,Special
6ch1A01,2.1868107,4.0107927,3,40,30,60,3.40,Alpha Beta
2nsaA00,-4.9683514,1.3209519,1,10,3120,10,1.10,Mainly Alpha
5dmdA00,5.9559684,2.5706167,2,30,290,10,2.30,Mainly Beta
2yicA04,0.8221915,2.804586,3,40,50,11610,3.40,Alpha Beta
2q14H02,-1.8282082,1.8001547,1,20,1250,30,1.20,Mainly Alpha
2absA01,-1.9442221,-0.7453611,3,40,1190,20,3.40,Alpha Beta
1iv8A03,-0.5592732,3.9790735,1,10,150,200,1.10,Mainly Alpha
3dktA01,1.4012836,2.699757,3,30,2400,30,3.30,Alpha Beta
3hlzA02,-1.4868633,4.796677,1,20,120,1090,1.20,Mainly Alpha
1xdpA01,-6.343438,4.0851207,1,20,58,310,1.20,Mainly Alpha
4bqnA02,-0.9163988,3.323035,1,10,10,2490,1.10,Mainly Alpha
2ykzA00,-5.999389,1.8821588,1,20,120,10,1.20,Mainly Alpha
4d8bA00,0.50487816,-0.37633044,3,90,70,50,3.90,Alpha Beta
