header,Size
MIP_00005845,47
MIP_00005847,63
MIP_00005850,43
MIP_00005851,42
MIP_00005853,61
MIP_00005854,41
MIP_00005857,58
MIP_00099109,60
MIP_00005859,42
MIP_00005860,59
MIP_00005861,62
MIP_00005862,62
MIP_00005863,51
MIP_00005864,46
MIP_00005865,50
MIP_00005866,54
MIP_00005867,61
MIP_00005869,52
MIP_00005870,54
MIP_00038423,55
MIP_00005872,55
MIP_00005876,49
MIP_00005877,40
MIP_00005879,59
MIP_00005880,64
MIP_00005881,62
MIP_00005882,61
MIP_00005884,43
MIP_00005885,54
MIP_00005886,64
MIP_00005887,54
MIP_00005888,40
MIP_00005890,45
MIP_00005891,52
MIP_00005893,50
MIP_00005895,58
MIP_00005896,49
MIP_00005897,40
MIP_00005898,53
MIP_00005899,42
MIP_00005900,53
MIP_00005901,51
MIP_00005902,62
MIP_00005905,59
MIP_00005906,62
MIP_00005908,41
MIP_00005909,64
MIP_00005910,59
MIP_00005912,62
MIP_00005913,53
MIP_00005914,52
MIP_00005915,40
MIP_00005916,61
MIP_00005917,63
MIP_00005919,49
MIP_00005921,41
MIP_00005922,44
MIP_00005923,61
MIP_00005925,60
MIP_00005926,53
MIP_00005927,43
MIP_00005928,51
MIP_00005929,57
MIP_00005930,56
MIP_00005933,46
MIP_00005934,61
MIP_00007257,54
MIP_00007259,47
MIP_00007260,43
MIP_00007262,41
MIP_00007264,42
MIP_00007265,50
MIP_00007267,55
MIP_00007268,53
MIP_00007271,59
MIP_00007273,51
MIP_00007274,53
MIP_00007276,42
MIP_00007277,55
MIP_00007278,59
MIP_00007279,48
MIP_00007280,43
MIP_00007282,50
MIP_00007283,45
MIP_00007286,46
MIP_00007288,65
MIP_00007291,44
MIP_00007292,53
MIP_00007293,49
MIP_00007295,55
MIP_00007296,54
MIP_00007297,42
MIP_00007298,45
MIP_00007299,61
MIP_00007300,57
MIP_00007302,45
MIP_00007303,57
MIP_00007308,52
MIP_00007310,40
MIP_00006641,48
MIP_00007311,52
MIP_00007312,60
MIP_00007315,46
MIP_00007316,50
MIP_00007320,44
MIP_00007321,52
MIP_00007322,41
MIP_00007323,44
MIP_00007324,50
MIP_00007325,53
MIP_00007326,44
MIP_00007327,55
MIP_00007330,42
MIP_00007334,43
MIP_00007336,48
MIP_00007337,53
MIP_00007338,57
MIP_00007339,58
MIP_00007340,52
MIP_00007341,43
MIP_00007342,63
MIP_00007343,57
MIP_00007345,60
MIP_00007346,52
MIP_00007349,62
MIP_00007352,44
MIP_00007353,41
MIP_00007355,48
MIP_00007356,59
MIP_00007357,60
MIP_00007358,42
MIP_00007359,41
MIP_00007360,48
MIP_00007361,55
MIP_00007362,60
MIP_00007363,57
MIP_00007364,44
MIP_00007366,50
MIP_00007367,49
MIP_00007369,41
MIP_00007370,40
MIP_00007374,58
MIP_00007376,49
MIP_00007377,47
MIP_00007378,51
MIP_00007379,44
MIP_00007380,55
MIP_00007382,47
MIP_00007383,53
MIP_00007384,59
MIP_00007386,55
MIP_00005110,51
MIP_00007421,52
MIP_00021327,53
MIP_00014252,51
MIP_00020928,52
MIP_00026942,53
MIP_00029491,52
MIP_00031037,53
MIP_00133860,52
MIP_00138100,53
MIP_00029502,53
MIP_00029002,53
MIP_00009287,54
MIP_00031734,54
MIP_00035053,54
MIP_00051338,54
MIP_00114254,53
MIP_00028730,51
MIP_00044238,56
MIP_00136943,54
MIP_00136948,53
MIP_00021246,54
MIP_00026033,52
MIP_00026954,56
MIP_00007736,50
MIP_00010336,51
MIP_00010299,49
MIP_00038544,51
MIP_00040879,51
MIP_00014452,53
MIP_00085416,50
MIP_00139580,51
MIP_00010029,55
MIP_00030977,57
MIP_00010030,57
MIP_00016053,50
MIP_00142877,51
MIP_00028845,57
MIP_00013216,53
MIP_00013228,53
MIP_00114055,52
MIP_00117628,52
MIP_00135210,51
MIP_00139583,52
MIP_00013927,51
MIP_00020926,53
MIP_00027551,52
MIP_00028719,53
MIP_00029001,52
MIP_00030372,52
MIP_00114303,53
MIP_00026946,56
MIP_00027938,52
MIP_00028836,56
MIP_00023608,54
MIP_00025791,56
MIP_00042252,53
MIP_00067702,50
MIP_00029143,53
MIP_00035192,50
MIP_00129014,52
MIP_00138506,53
MIP_00114027,55
MIP_00137687,53
MIP_00142119,53
MIP_00138489,51
MIP_00010328,52
MIP_00129011,52
MIP_00129024,50
MIP_00138093,53
MIP_00142307,54
MIP_00029987,53
MIP_00030079,52
MIP_00030654,52
MIP_00021532,52
MIP_00014869,51
MIP_00006249,50
MIP_00006251,50
MIP_00009296,53
MIP_00012972,52
MIP_00041104,51
MIP_00117612,50
MIP_00136937,50
MIP_00006260,52
MIP_00035131,51
MIP_00013312,54
MIP_00014872,54
MIP_00021098,54
MIP_00021099,51
MIP_00014470,50
MIP_00016038,51
MIP_00005099,52
MIP_00023545,50
MIP_00142067,51
MIP_00011710,54
MIP_00028576,53
MIP_00030649,52
MIP_00031545,64
MIP_00141238,51
MIP_00007387,54
MIP_00007388,52
MIP_00007390,54
MIP_00007392,49
MIP_00007393,47
MIP_00007394,50
MIP_00007396,65
MIP_00007397,53
MIP_00007400,53
MIP_00008735,50
MIP_00008736,60
MIP_00008737,42
MIP_00008738,42
MIP_00008741,61
MIP_00008743,51
MIP_00008745,64
MIP_00008746,56
MIP_00008747,50
MIP_00008748,53
MIP_00008749,64
MIP_00008750,52
MIP_00008751,64
MIP_00008753,62
MIP_00008755,41
MIP_00008756,46
MIP_00008757,58
MIP_00008758,41
MIP_00008759,51
MIP_00008761,63
MIP_00008766,58
MIP_00008767,53
MIP_00008768,59
MIP_00008769,46
MIP_00008770,54
MIP_00008771,46
MIP_00008772,59
MIP_00122932,58
MIP_00128275,58
MIP_00008773,64
MIP_00008774,42
MIP_00008776,59
MIP_00008777,48
MIP_00008779,50
MIP_00008780,56
MIP_00008781,51
MIP_00008783,44
MIP_00008787,61
MIP_00008788,43
MIP_00008789,42
MIP_00008790,57
MIP_00008792,50
MIP_00008794,57
MIP_00008796,46
MIP_00008797,51
MIP_00008798,52
MIP_00008801,43
MIP_00008806,46
MIP_00008810,51
MIP_00008812,64
MIP_00008813,44
MIP_00008814,59
MIP_00008815,53
MIP_00008816,62
MIP_00008818,61
MIP_00008819,42
MIP_00008821,59
MIP_00008824,48
MIP_00008825,63
MIP_00008826,44
MIP_00008827,57
MIP_00008829,50
MIP_00008830,41
MIP_00008831,59
MIP_00008833,47
MIP_00008834,56
MIP_00008835,48
MIP_00008836,49
MIP_00008837,50
MIP_00008839,54
MIP_00008840,43
MIP_00008843,42
MIP_00008845,55
MIP_00008846,47
MIP_00008849,50
MIP_00008852,54
MIP_00008853,59
MIP_00008854,42
MIP_00008855,56
MIP_00008856,57
MIP_00008857,61
MIP_00008858,51
MIP_00008859,61
MIP_00008861,57
MIP_00008862,42
MIP_00008864,52
MIP_00008865,53
MIP_00008866,58
MIP_00007037,59
MIP_00004984,63
MIP_00005433,63
MIP_00023029,70
MIP_00007004,60
MIP_00008552,61
MIP_00009414,64
MIP_00015805,61
MIP_00010306,61
MIP_00011683,57
MIP_00012063,61
MIP_00007108,63
MIP_00007399,65
MIP_00006280,65
MIP_00010082,63
MIP_00149501,69
MIP_00010083,46
MIP_00010086,63
MIP_00010087,59
MIP_00010088,61
MIP_00010090,60
MIP_00010094,48
MIP_00010095,56
MIP_00010097,58
MIP_00010098,58
MIP_00010099,64
MIP_00010100,57
MIP_00010102,42
MIP_00010105,56
MIP_00010106,50
MIP_00010108,62
MIP_00010111,49
MIP_00010113,58
MIP_00010115,59
MIP_00006800,59
MIP_00010119,63
MIP_00010120,64
MIP_00010121,48
MIP_00010122,50
MIP_00010123,64
MIP_00010124,56
MIP_00010125,58
MIP_00010126,58
MIP_00010127,59
MIP_00010128,43
MIP_00010129,51
MIP_00010130,40
MIP_00010132,45
MIP_00010133,58
MIP_00010134,65
MIP_00010135,55
MIP_00010136,49
MIP_00006159,49
MIP_00005345,49
MIP_00010139,62
MIP_00010140,60
MIP_00010141,47
MIP_00010143,47
MIP_00010145,51
MIP_00010146,55
MIP_00010147,43
MIP_00010149,53
MIP_00010151,49
MIP_00010150,51
MIP_00010152,56
MIP_00026726,60
MIP_00010153,64
MIP_00010154,63
MIP_00010155,60
MIP_00010156,41
MIP_00010157,62
MIP_00010158,63
MIP_00010159,62
MIP_00010160,59
MIP_00010161,44
MIP_00010162,55
MIP_00010165,52
MIP_00010166,44
MIP_00010167,44
MIP_00010169,47
MIP_00010170,51
MIP_00010171,54
MIP_00010172,51
MIP_00010173,62
MIP_00010175,44
MIP_00010177,61
MIP_00010178,53
MIP_00010179,61
MIP_00010180,62
MIP_00010181,58
MIP_00010182,53
MIP_00010183,53
MIP_00010185,61
MIP_00010186,44
MIP_00010187,63
MIP_00010188,54
MIP_00010189,63
MIP_00010190,62
MIP_00010193,50
MIP_00010194,63
MIP_00118902,67
MIP_00010195,50
MIP_00010197,49
MIP_00010198,60
MIP_00010200,52
MIP_00010203,55
MIP_00010204,52
MIP_00010205,40
MIP_00010207,57
MIP_00010208,41
MIP_00011375,64
MIP_00141843,66
MIP_00011376,44
MIP_00011377,43
MIP_00011378,52
MIP_00011379,60
MIP_00043039,59
MIP_00115363,60
MIP_00016233,59
MIP_00011187,59
MIP_00014493,61
MIP_00143691,60
MIP_00041667,60
MIP_00014541,54
MIP_00011382,57
MIP_00011383,61
MIP_00011384,47
MIP_00011386,52
MIP_00011388,46
MIP_00011389,44
MIP_00011390,61
MIP_00011392,50
MIP_00011393,50
MIP_00011396,54
MIP_00011398,54
MIP_00011399,42
MIP_00011407,49
MIP_00011408,40
MIP_00011409,63
MIP_00011412,42
MIP_00011415,42
MIP_00011416,49
MIP_00011417,60
MIP_00011419,44
MIP_00011420,64
MIP_00011424,49
MIP_00011427,59
MIP_00026120,57
MIP_00124690,59
MIP_00138612,59
MIP_00008734,59
MIP_00026190,59
MIP_00028033,59
MIP_00117876,58
MIP_00125883,58
MIP_00135995,58
MIP_00015215,59
MIP_00026552,59
MIP_00027432,59
MIP_00035707,59
MIP_00008025,56
MIP_00008153,52
MIP_00011612,58
MIP_00014641,59
MIP_00013339,58
MIP_00026777,52
MIP_00027429,59
MIP_00039239,52
MIP_00141339,58
MIP_00135511,58
MIP_00013884,58
MIP_00029330,59
MIP_00038651,59
MIP_00141683,59
MIP_00011428,49
MIP_00011430,62
MIP_00011432,64
MIP_00011433,41
MIP_00011435,53
MIP_00011436,59
MIP_00011437,64
MIP_00011438,40
MIP_00011440,43
MIP_00011442,51
MIP_00011443,64
MIP_00011444,41
MIP_00011445,63
MIP_00011446,42
MIP_00011450,55
MIP_00006745,56
MIP_00008399,53
MIP_00010601,55
MIP_00013001,55
MIP_00016264,55
MIP_00015013,56
MIP_00006927,54
MIP_00011041,56
MIP_00012888,54
MIP_00013439,53
MIP_00015020,56
MIP_00015425,54
MIP_00011452,61
MIP_00011454,57
MIP_00011455,45
MIP_00011456,61
MIP_00011461,62
MIP_00011462,50
MIP_00011463,50
MIP_00011464,49
MIP_00011465,43
MIP_00011466,45
MIP_00011467,57
MIP_00011469,45
MIP_00011470,59
MIP_00011472,57
MIP_00011473,40
MIP_00011475,44
MIP_00011476,57
MIP_00011477,48
MIP_00011479,54
MIP_00011480,42
MIP_00011481,44
MIP_00011482,44
MIP_00011483,57
MIP_00011484,60
MIP_00011488,42
MIP_00011495,61
MIP_00011496,63
MIP_00011498,49
MIP_00011500,43
MIP_00011502,64
MIP_00011504,56
MIP_00011505,47
MIP_00011506,54
MIP_00011507,43
MIP_00027436,45
MIP_00011509,46
MIP_00011510,49
MIP_00011511,52
MIP_00011512,51
MIP_00011513,46
MIP_00011515,54
MIP_00011516,51
MIP_00011521,45
MIP_00013545,46
MIP_00011522,41
MIP_00011523,50
MIP_00012711,48
MIP_00012712,41
MIP_00012713,54
MIP_00006612,55
MIP_00008903,55
MIP_00008985,53
MIP_00010988,54
MIP_00012896,54
MIP_00029713,54
MIP_00009867,55
MIP_00122067,54
MIP_00124683,55
MIP_00012714,43
MIP_00012715,49
MIP_00012717,44
MIP_00012720,64
MIP_00012721,45
MIP_00012722,45
MIP_00012723,42
MIP_00012724,46
MIP_00012725,47
MIP_00012726,43
MIP_00012727,53
MIP_00012729,42
MIP_00012730,43
MIP_00012731,49
MIP_00012732,49
MIP_00012734,56
MIP_00131698,57
MIP_00012736,51
MIP_00012737,42
MIP_00012739,52
MIP_00012740,48
MIP_00012741,40
MIP_00012743,52
MIP_00012744,47
MIP_00012745,44
MIP_00006577,44
MIP_00012749,46
MIP_00012752,54
MIP_00012753,54
MIP_00012756,51
MIP_00012757,48
MIP_00012759,63
MIP_00012760,53
MIP_00012761,64
MIP_00007762,64
MIP_00012786,64
MIP_00014142,64
MIP_00014145,64
MIP_00144038,64
MIP_00012762,57
MIP_00012766,64
MIP_00012767,52
MIP_00012768,51
MIP_00012769,57
MIP_00012771,42
MIP_00012772,50
MIP_00012777,64
MIP_00012778,46
MIP_00012779,40
MIP_00012781,63
MIP_00012784,61
MIP_00012787,60
MIP_00012789,54
MIP_00012792,64
MIP_00012793,47
MIP_00012794,57
MIP_00012797,47
MIP_00012798,62
MIP_00012799,62
MIP_00012800,46
MIP_00012802,55
MIP_00009198,54
MIP_00119416,55
MIP_00012804,54
MIP_00012805,47
MIP_00012807,53
MIP_00012808,52
MIP_00012809,48
MIP_00012812,63
MIP_00012815,51
MIP_00012817,44
MIP_00012821,42
MIP_00012822,62
MIP_00012828,65
MIP_00012829,61
MIP_00012830,58
MIP_00012831,60
MIP_00012833,62
MIP_00012834,43
MIP_00006776,44
MIP_00012835,57
MIP_00012836,44
MIP_00012839,56
MIP_00012840,45
MIP_00012841,46
MIP_00012843,44
MIP_00012844,49
MIP_00012845,40
MIP_00012846,54
MIP_00014085,56
MIP_00014086,61
MIP_00014087,57
MIP_00014088,53
MIP_00014089,47
MIP_00014090,45
MIP_00014092,47
MIP_00014094,55
MIP_00014100,64
MIP_00014102,58
MIP_00014104,43
MIP_00014109,47
MIP_00014111,45
MIP_00014113,45
MIP_00014114,47
MIP_00014115,58
MIP_00014117,42
MIP_00014118,59
MIP_00014119,63
MIP_00006636,63
MIP_00014120,51
MIP_00014123,41
MIP_00014124,48
MIP_00014125,65
MIP_00014126,55
MIP_00014133,46
MIP_00014134,41
MIP_00014135,44
MIP_00014136,63
MIP_00014137,44
MIP_00014139,57
MIP_00007099,60
MIP_00014140,42
MIP_00014143,47
MIP_00014144,57
MIP_00014146,61
MIP_00014148,47
MIP_00014150,50
MIP_00014151,52
MIP_00010046,55
MIP_00013912,49
MIP_00028834,52
MIP_00014149,52
MIP_00014154,47
MIP_00014155,44
MIP_00014157,62
MIP_00014160,61
MIP_00014162,64
MIP_00014163,53
MIP_00014164,64
MIP_00014167,62
MIP_00014170,40
MIP_00014171,57
MIP_00014172,65
MIP_00014173,40
MIP_00014174,40
MIP_00014176,58
MIP_00014177,48
MIP_00014178,53
MIP_00014181,44
MIP_00014182,63
MIP_00014186,44
MIP_00014187,63
MIP_00014188,46
MIP_00014190,47
MIP_00014193,56
MIP_00014194,61
MIP_00014195,40
MIP_00014196,64
MIP_00014197,50
MIP_00014198,41
MIP_00014199,49
MIP_00014200,65
MIP_00014201,58
MIP_00014202,40
MIP_00014203,40
MIP_00014204,55
MIP_00014205,58
MIP_00014206,53
MIP_00014210,57
MIP_00014215,43
MIP_00014216,61
MIP_00014218,44
MIP_00014219,41
MIP_00014221,61
MIP_00014222,56
MIP_00014224,47
MIP_00014225,63
MIP_00115411,69
MIP_00014226,41
MIP_00014227,54
MIP_00014228,54
MIP_00015561,63
MIP_00015562,56
MIP_00015564,50
MIP_00015566,59
MIP_00015569,45
MIP_00015570,65
MIP_00015573,43
MIP_00015574,48
MIP_00015575,45
MIP_00015576,58
MIP_00015578,55
MIP_00015579,54
MIP_00015583,50
MIP_00015584,44
MIP_00015585,49
MIP_00015586,52
MIP_00015587,48
MIP_00015588,64
MIP_00015589,42
MIP_00015591,40
MIP_00015593,62
MIP_00015595,63
MIP_00058887,61
MIP_00061499,61
MIP_00067589,63
MIP_00132356,65
MIP_00122317,68
MIP_00015596,50
MIP_00015597,57
MIP_00015598,47
MIP_00015599,65
MIP_00015602,48
MIP_00015604,40
MIP_00015609,54
MIP_00015610,57
MIP_00015612,58
MIP_00006847,58
MIP_00015615,63
MIP_00015616,54
MIP_00015617,61
MIP_00015618,65
MIP_00015619,43
MIP_00015623,59
MIP_00015624,50
MIP_00015625,43
MIP_00015626,53
MIP_00015628,46
MIP_00015629,56
MIP_00015632,60
MIP_00015633,43
MIP_00015635,62
MIP_00015636,50
MIP_00015641,40
MIP_00015642,40
MIP_00015643,57
MIP_00015645,46
MIP_00015647,48
MIP_00015648,40
MIP_00015649,45
MIP_00015650,50
MIP_00015651,50
MIP_00015652,64
MIP_00015653,53
MIP_00015655,42
MIP_00015656,56
MIP_00015657,42
MIP_00015660,64
MIP_00015664,52
MIP_00015665,64
MIP_00015666,45
MIP_00015667,49
MIP_00015668,52
MIP_00015669,44
MIP_00015670,50
MIP_00015672,40
MIP_00008894,40
MIP_00015673,51
MIP_00015674,44
MIP_00015675,65
MIP_00015677,49
MIP_00015678,41
MIP_00015679,49
MIP_00015681,64
MIP_00015684,45
MIP_00014437,45
MIP_00015686,58
MIP_00015687,56
MIP_00015689,47
MIP_00015690,55
MIP_00015692,63
MIP_00015693,51
MIP_00015694,43
MIP_00021060,76
MIP_00021061,42
MIP_00021065,59
MIP_00006474,60
MIP_00022512,60
MIP_00115028,57
MIP_00015070,59
MIP_00029711,59
MIP_00119586,58
MIP_00015795,61
MIP_00131966,60
MIP_00021066,78
MIP_00021067,80
MIP_00021068,74
MIP_00021069,77
MIP_00021070,77
MIP_00021071,76
MIP_00021073,82
MIP_00021074,72
MIP_00021075,55
MIP_00021076,75
MIP_00021079,75
MIP_00021080,71
MIP_00021081,47
MIP_00021082,69
MIP_00021085,81
MIP_00021086,77
MIP_00029591,79
MIP_00021088,46
MIP_00021091,45
MIP_00021093,77
MIP_00021094,77
MIP_00021095,60
MIP_00021096,41
MIP_00021100,75
MIP_00031418,83
MIP_00021103,59
MIP_00021105,53
MIP_00021398,52
MIP_00027876,53
MIP_00128366,51
MIP_00038763,62
MIP_00041856,59
MIP_00041311,61
MIP_00138330,59
MIP_00021107,77
MIP_00021108,40
MIP_00021109,74
MIP_00021110,74
MIP_00023549,76
MIP_00021111,77
MIP_00021113,73
MIP_00021114,60
MIP_00021115,73
MIP_00021116,53
MIP_00021118,67
MIP_00021119,74
MIP_00021122,71
MIP_00021125,74
MIP_00021127,59
MIP_00021130,44
MIP_00021131,72
MIP_00021133,72
MIP_00021134,67
MIP_00022595,57
MIP_00120634,59
MIP_00021135,75
MIP_00021136,76
MIP_00021137,74
MIP_00021139,72
MIP_00022243,73
MIP_00028545,73
MIP_00029809,73
MIP_00022846,72
MIP_00024350,72
MIP_00026928,72
MIP_00020989,73
MIP_00022865,72
MIP_00021340,72
MIP_00028604,72
MIP_00022881,72
MIP_00024073,73
MIP_00027737,73
MIP_00021090,73
MIP_00025663,73
MIP_00028733,73
MIP_00027937,73
MIP_00029704,72
MIP_00021533,71
MIP_00029708,72
MIP_00023269,72
MIP_00021084,73
MIP_00024407,69
MIP_00024595,72
MIP_00024882,73
MIP_00024738,72
MIP_00022250,72
MIP_00024710,73
MIP_00025109,71
MIP_00025871,72
MIP_00022525,72
MIP_00027189,72
MIP_00029503,73
MIP_00021300,73
MIP_00021318,73
MIP_00028920,72
MIP_00028994,73
MIP_00021140,71
MIP_00021141,74
MIP_00021146,74
MIP_00021147,78
MIP_00021148,75
MIP_00021149,74
MIP_00021151,48
MIP_00021326,49
MIP_00021152,73
MIP_00021153,73
MIP_00021155,74
MIP_00021156,71
MIP_00021157,40
MIP_00021159,55
MIP_00021161,74
MIP_00021352,80
MIP_00021162,72
MIP_00021164,75
MIP_00021169,72
MIP_00021170,49
MIP_00021171,77
MIP_00022202,74
MIP_00022185,74
MIP_00023273,74
MIP_00022203,80
MIP_00022204,71
MIP_00022206,80
MIP_00022207,77
MIP_00022209,70
MIP_00022210,79
MIP_00022211,73
MIP_00022212,52
MIP_00022213,79
MIP_00022217,57
MIP_00022218,51
MIP_00022220,70
MIP_00022222,41
MIP_00022223,82
MIP_00022226,52
MIP_00022227,64
MIP_00022228,66
MIP_00022229,65
MIP_00022231,81
MIP_00022238,79
MIP_00033639,85
MIP_00022234,71
MIP_00022235,77
MIP_00022236,71
MIP_00022237,77
MIP_00022242,72
MIP_00022244,76
MIP_00022246,70
MIP_00022249,74
MIP_00022251,78
MIP_00022253,78
MIP_00087762,85
MIP_00022255,79
MIP_00022256,70
MIP_00022258,78
MIP_00022259,74
MIP_00022260,72
MIP_00022261,56
MIP_00022262,79
MIP_00022265,75
MIP_00022266,72
MIP_00022268,73
MIP_00022269,73
MIP_00022270,57
MIP_00031885,58
MIP_00028843,58
MIP_00029512,59
MIP_00022271,78
MIP_00022272,78
MIP_00022273,78
MIP_00022274,73
MIP_00022275,78
MIP_00022279,68
MIP_00022280,47
MIP_00022281,81
MIP_00022282,72
MIP_00022283,76
MIP_00022284,43
MIP_00022287,73
MIP_00022291,40
MIP_00022292,72
MIP_00022293,78
MIP_00022294,49
MIP_00022295,62
MIP_00022297,55
MIP_00022298,55
MIP_00022299,71
MIP_00022301,42
MIP_00036363,44
MIP_00022303,41
MIP_00022304,74
MIP_00022305,47
MIP_00022306,79
MIP_00022307,78
MIP_00022308,79
MIP_00022311,75
MIP_00023340,76
MIP_00023341,41
MIP_00023343,43
MIP_00024828,42
MIP_00049108,44
MIP_00023952,44
MIP_00023345,44
MIP_00023346,71
MIP_00023347,70
MIP_00023349,50
MIP_00023352,55
MIP_00023353,74
MIP_00023354,59
MIP_00023355,59
MIP_00023356,80
MIP_00023358,40
MIP_00023359,80
MIP_00023360,71
MIP_00023364,72
MIP_00023366,82
MIP_00023367,40
MIP_00023368,74
MIP_00023369,77
MIP_00023372,76
MIP_00023373,77
MIP_00023375,78
MIP_00023376,75
MIP_00023379,63
MIP_00023380,73
MIP_00023381,72
MIP_00023382,51
MIP_00023383,40
MIP_00023384,45
MIP_00015019,45
MIP_00022610,45
MIP_00023386,79
MIP_00023387,71
MIP_00026480,78
MIP_00038102,85
MIP_00030744,77
MIP_00027240,70
MIP_00023389,68
MIP_00022351,68
MIP_00023391,67
MIP_00022352,66
MIP_00053759,69
MIP_00023392,80
MIP_00023394,72
MIP_00023395,45
MIP_00023399,70
MIP_00023400,47
MIP_00023401,44
MIP_00023402,43
MIP_00023403,56
MIP_00023405,82
MIP_00023407,82
MIP_00023408,50
MIP_00023409,59
MIP_00140632,60
MIP_00023410,80
MIP_00023411,72
MIP_00023412,40
MIP_00023413,79
MIP_00023414,49
MIP_00023415,79
MIP_00023416,72
MIP_00023417,74
MIP_00023418,78
MIP_00023422,70
MIP_00023423,79
MIP_00023424,78
MIP_00023425,75
MIP_00023427,71
MIP_00023429,53
MIP_00023430,77
