Cluster,nMem
MIP_00005041.pdb,1
MIP_00005043.pdb,1
MIP_00005046.pdb,1
MIP_00005048.pdb,1
MIP_00005049.pdb,1
MIP_00005051.pdb,1
MIP_00005055.pdb,1
MIP_00005057.pdb,1
MIP_00005058.pdb,1
MIP_00005059.pdb,1
MIP_00005060.pdb,1
MIP_00005061.pdb,1
MIP_00005063.pdb,1
MIP_00005064.pdb,1
MIP_00005066.pdb,1
MIP_00005067.pdb,1
MIP_00005068.pdb,1
MIP_00005071.pdb,1
MIP_00005073.pdb,1
MIP_00005074.pdb,1
MIP_00005076.pdb,1
MIP_00005077.pdb,1
MIP_00005078.pdb,1
MIP_00005080.pdb,1
MIP_00005081.pdb,1
MIP_00005082.pdb,1
MIP_00005083.pdb,1
MIP_00005085.pdb,1
MIP_00005086.pdb,1
MIP_00005089.pdb,1
MIP_00005095.pdb,1
MIP_00005096.pdb,1
MIP_00005097.pdb,1
MIP_00005100.pdb,1
MIP_00005102.pdb,1
MIP_00005103.pdb,1
MIP_00005104.pdb,1
MIP_00005105.pdb,1
MIP_00005108.pdb,1
MIP_00005112.pdb,1
MIP_00005116.pdb,1
MIP_00005117.pdb,1
MIP_00005119.pdb,1
MIP_00005120.pdb,1
MIP_00005121.pdb,1
MIP_00005123.pdb,1
MIP_00005124.pdb,1
MIP_00005126.pdb,1
MIP_00005127.pdb,1
MIP_00005128.pdb,1
MIP_00005130.pdb,1
MIP_00005132.pdb,1
MIP_00005134.pdb,1
MIP_00005135.pdb,1
MIP_00005136.pdb,1
MIP_00005140.pdb,1
MIP_00005141.pdb,1
MIP_00005142.pdb,1
MIP_00005144.pdb,1
MIP_00005149.pdb,1
MIP_00005150.pdb,1
MIP_00005152.pdb,1
MIP_00005153.pdb,1
MIP_00005154.pdb,1
MIP_00005155.pdb,1
MIP_00005156.pdb,1
MIP_00005157.pdb,1
MIP_00005159.pdb,1
MIP_00005160.pdb,1
MIP_00005162.pdb,1
MIP_00005163.pdb,1
MIP_00005164.pdb,1
MIP_00005165.pdb,1
MIP_00005166.pdb,1
MIP_00005167.pdb,1
MIP_00005168.pdb,1
MIP_00005169.pdb,1
MIP_00005170.pdb,1
MIP_00005173.pdb,1
MIP_00005175.pdb,1
MIP_00005176.pdb,1
MIP_00005177.pdb,1
MIP_00005178.pdb,1
MIP_00005179.pdb,3
MIP_00005180.pdb,1
MIP_00005181.pdb,1
MIP_00005183.pdb,1
MIP_00005184.pdb,1
MIP_00005185.pdb,1
MIP_00005186.pdb,1
MIP_00005187.pdb,1
MIP_00005188.pdb,1
MIP_00005189.pdb,1
MIP_00005192.pdb,1
MIP_00005194.pdb,1
MIP_00005195.pdb,1
MIP_00005197.pdb,1
MIP_00005198.pdb,1
MIP_00005201.pdb,1
MIP_00005202.pdb,1
MIP_00005203.pdb,1
MIP_00005204.pdb,1
MIP_00005205.pdb,1
MIP_00005207.pdb,1
MIP_00005211.pdb,1
MIP_00005212.pdb,1
MIP_00005214.pdb,1
MIP_00005215.pdb,1
MIP_00005216.pdb,1
MIP_00005217.pdb,1
MIP_00005218.pdb,1
MIP_00005219.pdb,1
MIP_00005220.pdb,1
MIP_00005223.pdb,1
MIP_00005225.pdb,1
MIP_00005226.pdb,1
MIP_00005228.pdb,1
MIP_00005231.pdb,1
MIP_00005233.pdb,1
MIP_00005234.pdb,1
MIP_00005235.pdb,1
MIP_00005238.pdb,1
MIP_00005240.pdb,1
MIP_00005243.pdb,2
MIP_00005244.pdb,1
MIP_00005245.pdb,1
MIP_00005247.pdb,1
MIP_00005248.pdb,7
MIP_00005249.pdb,1
MIP_00005250.pdb,1
MIP_00005251.pdb,1
MIP_00005253.pdb,1
MIP_00005254.pdb,1
MIP_00005255.pdb,1
MIP_00005260.pdb,1
MIP_00005261.pdb,1
MIP_00005262.pdb,1
MIP_00005264.pdb,1
MIP_00005265.pdb,1
MIP_00005266.pdb,1
MIP_00005267.pdb,1
MIP_00005268.pdb,1
MIP_00005269.pdb,1
MIP_00005270.pdb,1
MIP_00005271.pdb,1
MIP_00005275.pdb,1
MIP_00005276.pdb,1
MIP_00005277.pdb,1
MIP_00005280.pdb,1
MIP_00005281.pdb,1
MIP_00005282.pdb,1
MIP_00005283.pdb,1
MIP_00005284.pdb,1
MIP_00005285.pdb,1
MIP_00005287.pdb,1
MIP_00005288.pdb,1
MIP_00005289.pdb,1
MIP_00005290.pdb,1
MIP_00005291.pdb,1
MIP_00005293.pdb,1
MIP_00005294.pdb,1
MIP_00005295.pdb,1
MIP_00005296.pdb,1
MIP_00005297.pdb,1
MIP_00005298.pdb,1
MIP_00005299.pdb,1
MIP_00005300.pdb,1
MIP_00005301.pdb,1
MIP_00005302.pdb,1
MIP_00005304.pdb,1
MIP_00005308.pdb,1
MIP_00005309.pdb,1
MIP_00005310.pdb,1
MIP_00005311.pdb,1
MIP_00005312.pdb,1
MIP_00005313.pdb,1
MIP_00005314.pdb,1
MIP_00005315.pdb,1
MIP_00005316.pdb,1
MIP_00005318.pdb,1
MIP_00005319.pdb,1
MIP_00005320.pdb,1
MIP_00005321.pdb,1
MIP_00005322.pdb,1
MIP_00005323.pdb,1
MIP_00005325.pdb,1
MIP_00005330.pdb,1
MIP_00005331.pdb,1
MIP_00005332.pdb,1
MIP_00005333.pdb,1
MIP_00005334.pdb,1
MIP_00005335.pdb,1
MIP_00005338.pdb,1
MIP_00005339.pdb,4
MIP_00005340.pdb,1
MIP_00005341.pdb,1
MIP_00005342.pdb,1
MIP_00005343.pdb,1
MIP_00005344.pdb,1
MIP_00005346.pdb,1
MIP_00005348.pdb,1
MIP_00005350.pdb,1
MIP_00005352.pdb,1
MIP_00005353.pdb,1
MIP_00005355.pdb,1
MIP_00005358.pdb,1
MIP_00005360.pdb,1
MIP_00005361.pdb,1
MIP_00005362.pdb,1
MIP_00005366.pdb,1
MIP_00005367.pdb,1
MIP_00005369.pdb,1
MIP_00005370.pdb,1
MIP_00005373.pdb,1
MIP_00005375.pdb,1
MIP_00005376.pdb,1
MIP_00005379.pdb,1
MIP_00005380.pdb,1
MIP_00005381.pdb,1
MIP_00005382.pdb,1
MIP_00005383.pdb,1
MIP_00005385.pdb,1
MIP_00005386.pdb,1
MIP_00005388.pdb,2
MIP_00005390.pdb,1
MIP_00005391.pdb,1
MIP_00005392.pdb,1
MIP_00005393.pdb,1
MIP_00005395.pdb,1
MIP_00005396.pdb,1
MIP_00005398.pdb,1
MIP_00005399.pdb,1
MIP_00005400.pdb,1
MIP_00005401.pdb,1
MIP_00005403.pdb,1
MIP_00005404.pdb,1
MIP_00005405.pdb,1
MIP_00005406.pdb,1
MIP_00005408.pdb,1
MIP_00005410.pdb,1
MIP_00005411.pdb,1
MIP_00005412.pdb,1
MIP_00005413.pdb,1
MIP_00005414.pdb,1
MIP_00005415.pdb,1
MIP_00005416.pdb,1
MIP_00005417.pdb,1
MIP_00005421.pdb,1
MIP_00005422.pdb,1
MIP_00005424.pdb,1
MIP_00005426.pdb,1
MIP_00005430.pdb,1
MIP_00005431.pdb,1
MIP_00005435.pdb,1
MIP_00005438.pdb,1
MIP_00005440.pdb,1
MIP_00005444.pdb,1
MIP_00005445.pdb,1
MIP_00005446.pdb,1
MIP_00005447.pdb,1
MIP_00005448.pdb,1
MIP_00005449.pdb,1
MIP_00005450.pdb,1
MIP_00005451.pdb,2
MIP_00005453.pdb,1
MIP_00005454.pdb,1
MIP_00005455.pdb,3
MIP_00005456.pdb,2
MIP_00005457.pdb,1
MIP_00005459.pdb,1
MIP_00005462.pdb,1
MIP_00005463.pdb,1
MIP_00005464.pdb,1
MIP_00005466.pdb,1
MIP_00005467.pdb,1
MIP_00005468.pdb,1
MIP_00005469.pdb,1
MIP_00005470.pdb,1
MIP_00005471.pdb,1
MIP_00005472.pdb,1
MIP_00005475.pdb,1
MIP_00005477.pdb,1
MIP_00005478.pdb,2
MIP_00005480.pdb,1
MIP_00005481.pdb,1
MIP_00005482.pdb,1
MIP_00005483.pdb,1
MIP_00005484.pdb,1
MIP_00005485.pdb,1
MIP_00005486.pdb,1
MIP_00005489.pdb,1
MIP_00005490.pdb,1
MIP_00005491.pdb,1
MIP_00005492.pdb,1
MIP_00005494.pdb,1
MIP_00005497.pdb,1
MIP_00005501.pdb,1
MIP_00005502.pdb,1
MIP_00005504.pdb,1
MIP_00005505.pdb,1
MIP_00005506.pdb,1
MIP_00005507.pdb,1
MIP_00005508.pdb,1
MIP_00005509.pdb,1
MIP_00005510.pdb,1
MIP_00005513.pdb,1
MIP_00005514.pdb,1
MIP_00005516.pdb,1
MIP_00005517.pdb,1
MIP_00005519.pdb,2
MIP_00005523.pdb,1
MIP_00005526.pdb,1
MIP_00005527.pdb,1
MIP_00005528.pdb,1
MIP_00005530.pdb,1
MIP_00005534.pdb,1
MIP_00005536.pdb,1
MIP_00005537.pdb,1
MIP_00005538.pdb,1
MIP_00005539.pdb,1
MIP_00005541.pdb,1
MIP_00005542.pdb,1
MIP_00005543.pdb,1
MIP_00005544.pdb,1
MIP_00005545.pdb,1
MIP_00005546.pdb,1
MIP_00005547.pdb,1
MIP_00005551.pdb,1
MIP_00005552.pdb,1
MIP_00005553.pdb,1
MIP_00005555.pdb,1
MIP_00005556.pdb,1
MIP_00005562.pdb,1
MIP_00005565.pdb,1
MIP_00005567.pdb,2
MIP_00005568.pdb,1
MIP_00005569.pdb,1
MIP_00005570.pdb,1
MIP_00005571.pdb,1
MIP_00005572.pdb,1
MIP_00005573.pdb,1
MIP_00005575.pdb,1
MIP_00005576.pdb,1
MIP_00005577.pdb,1
MIP_00005579.pdb,1
MIP_00005581.pdb,1
MIP_00005582.pdb,1
MIP_00005584.pdb,1
MIP_00005585.pdb,1
MIP_00005586.pdb,1
MIP_00005587.pdb,1
MIP_00005591.pdb,1
MIP_00005593.pdb,1
MIP_00005594.pdb,1
MIP_00005598.pdb,1
MIP_00005601.pdb,1
MIP_00005603.pdb,1
MIP_00005606.pdb,1
MIP_00005607.pdb,1
MIP_00005608.pdb,1
MIP_00005609.pdb,1
MIP_00005611.pdb,1
MIP_00005612.pdb,1
MIP_00005613.pdb,1
MIP_00005616.pdb,1
MIP_00005617.pdb,1
MIP_00005620.pdb,1
MIP_00005622.pdb,1
MIP_00005623.pdb,1
MIP_00005624.pdb,1
MIP_00005625.pdb,1
MIP_00005627.pdb,1
MIP_00005628.pdb,1
MIP_00005629.pdb,1
MIP_00005632.pdb,1
MIP_00005634.pdb,1
MIP_00005635.pdb,1
MIP_00005637.pdb,1
MIP_00005638.pdb,1
MIP_00005639.pdb,1
MIP_00005640.pdb,5
MIP_00005641.pdb,1
MIP_00005642.pdb,1
MIP_00005643.pdb,1
MIP_00005644.pdb,1
MIP_00005646.pdb,1
MIP_00005647.pdb,1
MIP_00005649.pdb,1
MIP_00005650.pdb,1
MIP_00005652.pdb,1
MIP_00005653.pdb,1
MIP_00005654.pdb,1
MIP_00005656.pdb,1
MIP_00005658.pdb,1
MIP_00005660.pdb,1
MIP_00005661.pdb,1
MIP_00005662.pdb,1
MIP_00005663.pdb,1
MIP_00005664.pdb,1
MIP_00005665.pdb,1
MIP_00005666.pdb,1
MIP_00005667.pdb,1
MIP_00005668.pdb,1
MIP_00005669.pdb,1
MIP_00005670.pdb,1
MIP_00005671.pdb,1
MIP_00005672.pdb,1
MIP_00005673.pdb,1
MIP_00005675.pdb,1
MIP_00005676.pdb,1
MIP_00005677.pdb,1
MIP_00005678.pdb,1
MIP_00005681.pdb,1
MIP_00005682.pdb,1
MIP_00005683.pdb,1
MIP_00005684.pdb,1
MIP_00005685.pdb,1
MIP_00005689.pdb,1
MIP_00005690.pdb,1
MIP_00005692.pdb,1
MIP_00005693.pdb,1
MIP_00005695.pdb,1
MIP_00005697.pdb,1
MIP_00005700.pdb,1
MIP_00005701.pdb,1
MIP_00005702.pdb,1
MIP_00005703.pdb,1
MIP_00005704.pdb,1
MIP_00005705.pdb,1
MIP_00005706.pdb,1
MIP_00005707.pdb,1
MIP_00005709.pdb,1
MIP_00005713.pdb,1
MIP_00005714.pdb,1
MIP_00005715.pdb,1
MIP_00005719.pdb,1
MIP_00005720.pdb,1
MIP_00005722.pdb,1
MIP_00005724.pdb,1
MIP_00005727.pdb,1
MIP_00005728.pdb,1
MIP_00005730.pdb,1
MIP_00005731.pdb,1
MIP_00005732.pdb,1
MIP_00005734.pdb,1
MIP_00005735.pdb,1
MIP_00005737.pdb,1
MIP_00005738.pdb,1
MIP_00005741.pdb,1
MIP_00005742.pdb,1
MIP_00005745.pdb,1
MIP_00005746.pdb,1
MIP_00005747.pdb,1
MIP_00005748.pdb,1
MIP_00005749.pdb,1
MIP_00005750.pdb,1
MIP_00005753.pdb,4
MIP_00005754.pdb,1
MIP_00005757.pdb,1
MIP_00005758.pdb,1
MIP_00005759.pdb,1
MIP_00005760.pdb,1
MIP_00005766.pdb,2
MIP_00005767.pdb,1
MIP_00005768.pdb,1
MIP_00005769.pdb,2
MIP_00005771.pdb,1
MIP_00005772.pdb,1
MIP_00005774.pdb,1
MIP_00005775.pdb,1
MIP_00005776.pdb,1
MIP_00005778.pdb,1
MIP_00005780.pdb,1
MIP_00005782.pdb,1
MIP_00005783.pdb,1
MIP_00005784.pdb,1
MIP_00005785.pdb,1
MIP_00005787.pdb,1
MIP_00005788.pdb,1
MIP_00005789.pdb,1
MIP_00005791.pdb,1
MIP_00005793.pdb,1
MIP_00005794.pdb,1
MIP_00005796.pdb,1
MIP_00005797.pdb,1
MIP_00005799.pdb,1
MIP_00005800.pdb,1
MIP_00005801.pdb,1
MIP_00005802.pdb,1
MIP_00005803.pdb,1
MIP_00005804.pdb,1
MIP_00005805.pdb,1
MIP_00005807.pdb,1
MIP_00005808.pdb,1
MIP_00005810.pdb,1
MIP_00005811.pdb,1
MIP_00005814.pdb,1
MIP_00005815.pdb,1
MIP_00005816.pdb,1
MIP_00005817.pdb,1
MIP_00005819.pdb,1
MIP_00005820.pdb,1
MIP_00005821.pdb,1
MIP_00005822.pdb,1
MIP_00005824.pdb,1
MIP_00005825.pdb,1
MIP_00005829.pdb,1
MIP_00005830.pdb,1
MIP_00005831.pdb,1
MIP_00005832.pdb,1
MIP_00005833.pdb,3
MIP_00005836.pdb,1
MIP_00005837.pdb,1
MIP_00005838.pdb,1
MIP_00005840.pdb,1
MIP_00005841.pdb,1
MIP_00005842.pdb,1
MIP_00005843.pdb,1
MIP_00005844.pdb,1
MIP_00005845.pdb,1
MIP_00005847.pdb,1
MIP_00005850.pdb,1
MIP_00005851.pdb,1
MIP_00005853.pdb,1
MIP_00005854.pdb,1
MIP_00005857.pdb,1
MIP_00005859.pdb,1
MIP_00005860.pdb,1
MIP_00005861.pdb,1
MIP_00005862.pdb,1
MIP_00005863.pdb,1
MIP_00005864.pdb,1
MIP_00005865.pdb,1
MIP_00005866.pdb,1
MIP_00005867.pdb,1
MIP_00005869.pdb,1
MIP_00005870.pdb,2
MIP_00005872.pdb,1
MIP_00005876.pdb,1
MIP_00005877.pdb,1
MIP_00005879.pdb,1
MIP_00005880.pdb,1
MIP_00005881.pdb,1
MIP_00005882.pdb,1
MIP_00005884.pdb,1
MIP_00005885.pdb,1
MIP_00005886.pdb,1
MIP_00005887.pdb,1
MIP_00005888.pdb,1
MIP_00005890.pdb,1
MIP_00005891.pdb,1
MIP_00005893.pdb,1
MIP_00005895.pdb,1
MIP_00005896.pdb,1
MIP_00005897.pdb,1
MIP_00005898.pdb,1
MIP_00005899.pdb,1
MIP_00005900.pdb,1
MIP_00005901.pdb,1
MIP_00005902.pdb,1
MIP_00005905.pdb,1
MIP_00005906.pdb,1
MIP_00005908.pdb,1
MIP_00005909.pdb,1
MIP_00005910.pdb,1
MIP_00005911.pdb,1
MIP_00005912.pdb,1
MIP_00005913.pdb,1
MIP_00005914.pdb,1
MIP_00005915.pdb,1
MIP_00005916.pdb,1
MIP_00005917.pdb,1
MIP_00005919.pdb,1
MIP_00005920.pdb,1
MIP_00005921.pdb,1
MIP_00005922.pdb,1
MIP_00005923.pdb,1
MIP_00005925.pdb,1
MIP_00005926.pdb,1
MIP_00005927.pdb,1
MIP_00005928.pdb,1
MIP_00005929.pdb,1
MIP_00005930.pdb,1
MIP_00005933.pdb,1
MIP_00005934.pdb,1
MIP_00005935.pdb,1
MIP_00005936.pdb,1
MIP_00005939.pdb,1
MIP_00005940.pdb,6
MIP_00005941.pdb,1
MIP_00005942.pdb,1
MIP_00005943.pdb,1
MIP_00005944.pdb,1
MIP_00005945.pdb,1
MIP_00005946.pdb,1
MIP_00005948.pdb,1
MIP_00005949.pdb,1
MIP_00005950.pdb,1
MIP_00005953.pdb,1
MIP_00005955.pdb,1
MIP_00005956.pdb,1
MIP_00005958.pdb,1
MIP_00005959.pdb,1
MIP_00005960.pdb,1
MIP_00005961.pdb,1
MIP_00005962.pdb,1
MIP_00005963.pdb,1
MIP_00005964.pdb,1
MIP_00005965.pdb,1
MIP_00005967.pdb,1
MIP_00005970.pdb,1
MIP_00005971.pdb,1
MIP_00005972.pdb,1
MIP_00005974.pdb,1
MIP_00005978.pdb,1
MIP_00005980.pdb,1
MIP_00005981.pdb,1
MIP_00005983.pdb,1
MIP_00005985.pdb,1
MIP_00005987.pdb,1
MIP_00005990.pdb,1
MIP_00005992.pdb,1
MIP_00005993.pdb,1
MIP_00005994.pdb,1
MIP_00005995.pdb,2
MIP_00005996.pdb,1
MIP_00005997.pdb,1
MIP_00005998.pdb,1
MIP_00006000.pdb,1
MIP_00006001.pdb,1
MIP_00006006.pdb,1
MIP_00006007.pdb,1
MIP_00006008.pdb,1
MIP_00006009.pdb,1
MIP_00006012.pdb,1
MIP_00006013.pdb,1
MIP_00006014.pdb,1
MIP_00006015.pdb,1
MIP_00006017.pdb,1
MIP_00006019.pdb,1
MIP_00006021.pdb,1
MIP_00006022.pdb,1
MIP_00006025.pdb,1
MIP_00006027.pdb,1
MIP_00006028.pdb,1
MIP_00006029.pdb,1
MIP_00006030.pdb,1
MIP_00006031.pdb,1
MIP_00006032.pdb,1
MIP_00006033.pdb,1
MIP_00006036.pdb,1
MIP_00006038.pdb,1
MIP_00006039.pdb,1
MIP_00006041.pdb,1
MIP_00006042.pdb,1
MIP_00006043.pdb,1
MIP_00006045.pdb,1
MIP_00006046.pdb,1
MIP_00006048.pdb,1
MIP_00006049.pdb,1
MIP_00006050.pdb,1
MIP_00006051.pdb,1
MIP_00006052.pdb,1
MIP_00006053.pdb,1
MIP_00006055.pdb,1
MIP_00006057.pdb,1
MIP_00006058.pdb,1
MIP_00006059.pdb,1
MIP_00006060.pdb,1
MIP_00006061.pdb,1
MIP_00006063.pdb,1
MIP_00006066.pdb,1
MIP_00006068.pdb,1
MIP_00006069.pdb,1
MIP_00006070.pdb,1
MIP_00006071.pdb,1
MIP_00006075.pdb,1
MIP_00006076.pdb,1
MIP_00006077.pdb,1
MIP_00006078.pdb,1
MIP_00006079.pdb,1
MIP_00006080.pdb,1
MIP_00006081.pdb,1
MIP_00006082.pdb,1
MIP_00006086.pdb,2
MIP_00006087.pdb,1
MIP_00006091.pdb,1
MIP_00006092.pdb,1
MIP_00006094.pdb,1
MIP_00006095.pdb,1
MIP_00006096.pdb,1
MIP_00006097.pdb,1
MIP_00006098.pdb,2
MIP_00006099.pdb,1
MIP_00006106.pdb,1
MIP_00006108.pdb,1
MIP_00006111.pdb,1
MIP_00006113.pdb,1
MIP_00006115.pdb,1
MIP_00006117.pdb,1
MIP_00006118.pdb,1
MIP_00006119.pdb,1
MIP_00006124.pdb,1
MIP_00006125.pdb,1
MIP_00006126.pdb,1
MIP_00006128.pdb,1
MIP_00006131.pdb,3
MIP_00006132.pdb,2
MIP_00006133.pdb,1
MIP_00006135.pdb,1
MIP_00006140.pdb,1
MIP_00006141.pdb,1
MIP_00006143.pdb,1
MIP_00006144.pdb,1
MIP_00006145.pdb,1
MIP_00006149.pdb,1
MIP_00006150.pdb,1
MIP_00006151.pdb,1
MIP_00006152.pdb,1
MIP_00006154.pdb,1
MIP_00006156.pdb,1
MIP_00006157.pdb,1
MIP_00006158.pdb,1
MIP_00006161.pdb,1
MIP_00006164.pdb,1
MIP_00006165.pdb,1
MIP_00006167.pdb,3
MIP_00006168.pdb,1
MIP_00006170.pdb,1
MIP_00006172.pdb,1
MIP_00006173.pdb,1
MIP_00006176.pdb,1
MIP_00006177.pdb,1
MIP_00006179.pdb,1
MIP_00006181.pdb,1
MIP_00006183.pdb,1
MIP_00006184.pdb,1
MIP_00006185.pdb,1
MIP_00006186.pdb,1
MIP_00006188.pdb,1
MIP_00006189.pdb,1
MIP_00006190.pdb,1
MIP_00006191.pdb,1
MIP_00006193.pdb,1
MIP_00006194.pdb,1
MIP_00006195.pdb,1
MIP_00006196.pdb,1
MIP_00006197.pdb,1
MIP_00006198.pdb,1
MIP_00006199.pdb,1
MIP_00006200.pdb,1
MIP_00006201.pdb,1
MIP_00006203.pdb,1
MIP_00006205.pdb,1
MIP_00006206.pdb,1
MIP_00006207.pdb,1
MIP_00006208.pdb,1
MIP_00006209.pdb,1
MIP_00006210.pdb,1
MIP_00006211.pdb,1
MIP_00006212.pdb,1
MIP_00006213.pdb,1
MIP_00006214.pdb,1
MIP_00006216.pdb,1
MIP_00006217.pdb,1
MIP_00006218.pdb,1
MIP_00006219.pdb,1
MIP_00006220.pdb,1
MIP_00006221.pdb,1
MIP_00006222.pdb,1
MIP_00006223.pdb,1
MIP_00006224.pdb,1
MIP_00006225.pdb,1
MIP_00006227.pdb,1
MIP_00006231.pdb,1
MIP_00006232.pdb,1
MIP_00006233.pdb,1
MIP_00006234.pdb,1
MIP_00006236.pdb,1
MIP_00006238.pdb,1
MIP_00006240.pdb,1
MIP_00006241.pdb,1
MIP_00006242.pdb,1
MIP_00006244.pdb,19
MIP_00006245.pdb,1
MIP_00006247.pdb,1
MIP_00006250.pdb,1
MIP_00006253.pdb,1
MIP_00006254.pdb,1
MIP_00006255.pdb,1
MIP_00006256.pdb,1
MIP_00006257.pdb,1
MIP_00006259.pdb,5
MIP_00006261.pdb,1
MIP_00006265.pdb,1
MIP_00006266.pdb,1
MIP_00006268.pdb,1
MIP_00006269.pdb,1
MIP_00006271.pdb,1
MIP_00006272.pdb,1
MIP_00006273.pdb,1
MIP_00006274.pdb,1
MIP_00006275.pdb,1
MIP_00006278.pdb,2
MIP_00006279.pdb,1
MIP_00006281.pdb,1
MIP_00006284.pdb,1
MIP_00006285.pdb,1
MIP_00006290.pdb,1
MIP_00006291.pdb,1
MIP_00006292.pdb,1
MIP_00006293.pdb,1
MIP_00006294.pdb,1
MIP_00006295.pdb,2
MIP_00006298.pdb,1
MIP_00006299.pdb,1
MIP_00006300.pdb,1
MIP_00006305.pdb,1
MIP_00006307.pdb,1
MIP_00006308.pdb,1
MIP_00006309.pdb,1
MIP_00006310.pdb,1
MIP_00006311.pdb,1
MIP_00006312.pdb,1
MIP_00006313.pdb,1
MIP_00006315.pdb,1
MIP_00006316.pdb,3
MIP_00006317.pdb,1
MIP_00006319.pdb,1
MIP_00006320.pdb,1
MIP_00006321.pdb,1
MIP_00006323.pdb,1
MIP_00006325.pdb,1
MIP_00006326.pdb,1
MIP_00006327.pdb,1
MIP_00006331.pdb,1
MIP_00006333.pdb,1
MIP_00006335.pdb,1
MIP_00006336.pdb,1
MIP_00006337.pdb,1
MIP_00006339.pdb,1
MIP_00006340.pdb,1
MIP_00006342.pdb,1
MIP_00006344.pdb,1
MIP_00006345.pdb,1
MIP_00006346.pdb,1
MIP_00006347.pdb,1
MIP_00006348.pdb,1
MIP_00006349.pdb,1
MIP_00006350.pdb,1
MIP_00006351.pdb,1
MIP_00006354.pdb,1
MIP_00006356.pdb,1
MIP_00006357.pdb,1
MIP_00006358.pdb,1
MIP_00006360.pdb,1
MIP_00006361.pdb,1
MIP_00006364.pdb,1
MIP_00006366.pdb,1
MIP_00006369.pdb,1
MIP_00006370.pdb,1
MIP_00006371.pdb,1
MIP_00006372.pdb,2
MIP_00006373.pdb,1
MIP_00006374.pdb,2
MIP_00006375.pdb,1
MIP_00006377.pdb,1
MIP_00006380.pdb,1
MIP_00006381.pdb,1
MIP_00006382.pdb,1
MIP_00006383.pdb,1
MIP_00006388.pdb,1
MIP_00006389.pdb,1
MIP_00006390.pdb,1
MIP_00006393.pdb,1
MIP_00006394.pdb,1
MIP_00006396.pdb,1
MIP_00006397.pdb,1
MIP_00006398.pdb,1
MIP_00006399.pdb,1
MIP_00006400.pdb,1
